SOURCE	SOURCE_ATTRIBUTE	TARGET	TARGET_ATTRIBUTE
ARAE-MONOMER	GENE_PROD	TRANS-RXN-10-alpha-af	RXN
ARAE-MONOMER	GENE_PROD	TRANS-RXN-10-beta-af	RXN
ARAE-MONOMER	GENE_PROD	TRANS-RXN-10-alpha-ap	RXN
ARAE-MONOMER	GENE_PROD	TRANS-RXN-10-beta-ap	RXN
ABC-2-CPLX	GENE_PROD	ABC-2-RXN-alpha-af	RXN
ABC-2-CPLX	GENE_PROD	ABC-2-RXN-beta-af	RXN
ABC-2-CPLX	GENE_PROD	ABC-2-RXN-alpha-ap	RXN
ABC-2-CPLX	GENE_PROD	ABC-2-RXN-beta-ap	RXN
ARABISOM-CPLX	GENE_PROD	ARABISOM-RXN-alpha-ap	RXN
ARABISOM-CPLX	GENE_PROD	ARABISOM-RXN-beta-ap	RXN
RIBULOKIN-CPLX	GENE_PROD	RXN0-5116	RXN
RIBULPEPIM-CPLX	GENE_PROD	RIBULPEPIM-RXN	RXN

PER-PROTON	MET	TRANS-RXN-10-alpha-af	RXN
PER-alpha-L-arabinofuranose	MET	TRANS-RXN-10-alpha-af	RXN
PER-PROTON	MET	TRANS-RXN-10-beta-af	RXN
PER-beta-L-arabinofuranose	MET	TRANS-RXN-10-beta-af	RXN
PER-PROTON	MET	TRANS-RXN-10-alpha-ap	RXN
PER-alpha-L-arabinopyranose	MET	TRANS-RXN-10-alpha-ap	RXN
PER-PROTON	MET	TRANS-RXN-10-beta-ap	RXN
PER-beta-L-arabinopyranose	MET	TRANS-RXN-10-beta-ap	RXN
WATER	MET	ABC-2-RXN-alpha-af	RXN
ATP	MET	ABC-2-RXN-alpha-af	RXN
PER-alpha-L-arabinofuranose	MET	ABC-2-RXN-alpha-af	RXN
WATER	MET	ABC-2-RXN-beta-af	RXN
ATP	MET	ABC-2-RXN-beta-af	RXN
PER-beta-L-arabinofuranose	MET	ABC-2-RXN-beta-af	RXN
WATER	MET	ABC-2-RXN-alpha-ap	RXN
ATP	MET	ABC-2-RXN-alpha-ap	RXN
PER-alpha-L-arabinopyranose	MET	ABC-2-RXN-alpha-ap	RXN
WATER	MET	ABC-2-RXN-beta-ap	RXN
ATP	MET	ABC-2-RXN-beta-ap	RXN
PER-beta-L-arabinopyranose	MET	ABC-2-RXN-beta-ap	RXN
alpha-L-arabinopyranose	MET	ARABISOM-RXN-alpha-ap	RXN
beta-L-arabinopyranose	MET	ARABISOM-RXN-beta-ap	RXN
L-RIBULOSE	MET	RXN0-5116	RXN
ATP	MET	RXN0-5116	RXN
L-RIBULOSE-5-P	MET	RIBULPEPIM-RXN	RXN

TRANS-RXN-10-alpha-af	RXN	PROTON	MET
TRANS-RXN-10-alpha-af	RXN	alpha-L-arabinofuranose	MET
TRANS-RXN-10-beta-af	RXN	PROTON	MET
TRANS-RXN-10-beta-af	RXN	beta-L-arabinofuranose	MET
TRANS-RXN-10-alpha-ap	RXN	PROTON	MET
TRANS-RXN-10-alpha-ap	RXN	alpha-L-arabinopyranose	MET
TRANS-RXN-10-beta-ap	RXN	PROTON	MET
TRANS-RXN-10-beta-ap	RXN	beta-L-arabinopyranose	MET
ABC-2-RXN-alpha-af	RXN	Pi	MET
ABC-2-RXN-alpha-af	RXN	ADP	MET
ABC-2-RXN-alpha-af	RXN	PROTON	MET
ABC-2-RXN-alpha-af	RXN	alpha-L-arabinofuranose	MET
ABC-2-RXN-beta-af	RXN	Pi	MET
ABC-2-RXN-beta-af	RXN	ADP	MET
ABC-2-RXN-beta-af	RXN	PROTON	MET
ABC-2-RXN-beta-af	RXN	beta-L-arabinofuranose	MET
ABC-2-RXN-alpha-ap	RXN	Pi	MET
ABC-2-RXN-alpha-ap	RXN	ADP	MET
ABC-2-RXN-alpha-ap	RXN	PROTON	MET
ABC-2-RXN-alpha-ap	RXN	alpha-L-arabinopyranose	MET
ABC-2-RXN-beta-ap	RXN	Pi	MET
ABC-2-RXN-beta-ap	RXN	ADP	MET
ABC-2-RXN-beta-ap	RXN	PROTON	MET
ABC-2-RXN-beta-ap	RXN	beta-L-arabinopyranose	MET
ARABISOM-RXN-alpha-ap	RXN	L-RIBULOSE	MET
ARABISOM-RXN-beta-ap	RXN	L-RIBULOSE	MET
RXN0-5116	RXN	PROTON	MET
RXN0-5116	RXN	L-RIBULOSE-5-P	MET
RXN0-5116	RXN	ADP	MET
RIBULPEPIM-RXN	RXN	XYLULOSE-5-PHOSPHATE	MET
