SOURCE	TARGET	FWD_DOCK_RATE	RVS_DOCK_RATE	FWD_SLIDE_RATE
#Docking to promoters
[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-rpoA-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-rpoB-pro1	1.0	0.0	1.0
#[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-rpoC-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-rpoD-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-rpoE-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-rpoH-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-rpoN-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-rpoS-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-fliA-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoD]	BS-fecI-pro1	1.0	0.0	1.0

[rpoA,rpoA,rpoB,rpoC,rpoE]	BS-rpoD-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoE]	BS-rpoE-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoE]	BS-rpoH-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoE]	BS-rpoN-pro1	1.0	0.0	1.0

[rpoA,rpoA,rpoB,rpoC,rpoH]	BS-rpoA-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoH]	BS-rpoD-pro1	1.0	0.0	1.0

[rpoA,rpoA,rpoB,rpoC,rpoN]	BS-rpoA-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoN]	BS-rpoD-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoN]	BS-rpoH-pro1	1.0	0.0	1.0

[rpoA,rpoA,rpoB,rpoC,rpoS]	BS-fecI-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoS]	BS-rpoA-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoS]	BS-rpoB-pro1	1.0	0.0	1.0
#[rpoA,rpoA,rpoB,rpoC,rpoS]	BS-rpoC-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoS]	BS-rpoD-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoS]	BS-rpoE-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoS]	BS-rpoH-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,rpoS]	BS-rpoN-pro1	1.0	0.0	1.0

[rpoA,rpoA,rpoB,rpoC,fliA]	BS-rpoD-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,fliA]	BS-rpoN-pro1	1.0	0.0	1.0
[rpoA,rpoA,rpoB,rpoC,fliA]	BS-fliA-pro1	1.0	0.0	1.0
