UPSTREAM	DOWNSTREAM	RNAP_FWD_DOCK_RATE	RNAP_RVS_DOCK_RATE	RNAP_FWD_SLIDE_RATE	RNAP_FWD_FALL_RATE	RIB_FWD_DOCK_RATE	RIB_RVS_DOCK_RATE	RIB_FWD_SLIDE_RATE	RIB_FWD_FALL_RATE
lacZ-pro4	lacZ-pro3	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
lacZ-pro3	lacZ-pro2	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
lacZ-pro2	lacZ-pro1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
lacZ-pro1	lacZ-rbs	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
lacZ-rbs	lacZ-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
lacZ-cds	lacY-pro1	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
lacY-pro1	lacY-rbs	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
lacY-rbs	lacY-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
lacY-cds	lacA-rbs	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
lacA-rbs	lacA-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
lacA-cds	lacA-ter1	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
lacA-ter1	lacA-ter2	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
