SOURCE	TARGET	FWD_DOCK_RATE	RVS_DOCK_RATE	FWD_SLIDE_RATE	FWD_FALL_RATE	FWD_DOCK_RATE	RVS_DOCK_RATE	FWD_SLIDE_RATE	FWD_FALL_RATE
rpoA-pro1	rpoA-rbs	1	1	0	0	0	0	0	0
rpoA-rbs	rpoA-cds	0	0	1	0	1	1	1	0
rpoA-cds	rpoA-ter1	0	0	1	1	0	0	1	1
									
rpoB-pro1	rpoB-rbs	1	1	0	0	0	0	0	0
rpoB-rbs	rpoB-cds	0	0	1	0	1	1	0	0
rpoB-cds	rpoC-rbs	0	0	1	0	0	0	0	0
rpoC-rbs	rpoC-cds	0	0	1	0	1	1	0	0
rpoC-cds	rpoC-ter1	0	0	1	1	0	0	1	1
									
rpoD-pro1	rpoD-rbs	1	1	0	0	0	0	0	0
rpoD-rbs	rpoD-cds	0	0	1	0	1	1	1	0
rpoD-cds	rpoD-ter1	0	0	1	1	0	0	1	1
									
rpoE-pro1	rpoE-rbs	1	1	0	0	0	0	0	0
rpoE-rbs	rpoE-cds	0	0	1	0	1	1	1	0
rpoE-cds	rpoE-ter1	0	0	1	1	0	0	1	1
									
rpoH-pro1	rpoH-rbs	1	1	0	0	0	0	0	0
rpoH-rbs	rpoH-cds	0	0	1	0	1	1	1	0
rpoH-cds	rpoH-ter1	0	0	1	1	0	0	1	1
									
rpoN-pro1	rpoN-rbs	1	1	0	0	0	0	0	0
rpoN-rbs	rpoN-cds	0	0	1	0	1	1	1	0
rpoN-cds	rpoN-ter1	0	0	1	1	0	0	1	1
									
rpoS-pro1	rpoS-rbs	1	1	0	0	0	0	0	0
rpoS-rbs	rpoS-cds	0	0	1	0	1	1	1	0
rpoS-cds	rpoS-ter1	0	0	1	1	0	0	1	1
									
fliA-pro1	fliA-rbs	1	1	0	0	0	0	0	0
fliA-rbs	fliA-cds	0	0	1	0	1	1	1	0
fliA-cds	fliA-ter1	0	0	1	1	0	0	1	1
									
fecI-pro1	fecI-rbs	1	1	0	0	0	0	0	0
fecI-rbs	fecI-cds	0	0	1	0	1	1	1	0
fecI-cds	fecI-ter1	0	0	1	1	0	0	1	1
