SOURCE	TARGET	EDGE_ATTRIBUTE	SOURCE_NODE_ATTRIBUTE	TARGET_NODE_ATTRIBUTE
ABC-2-CPLX	ABC-2-RXN	NO_ARROW	GENE_PROD	RXN
ALD-CPLX	LACTALDDEHYDROG-RXN	NO_ARROW	GENE_PROD	RXN
ALD-CPLX	GLYCOLALD-DEHYDROG-RXN	NO_ARROW	GENE_PROD	RXN
ARABISOM-CPLX	ARABISOM-RXN	NO_ARROW	GENE_PROD	RXN
ARAE-MONOMER	TRANS-RXN-10	NO_ARROW	GENE_PROD	RXN
CPLX0-7631	FUCISOM-RXN	NO_ARROW	GENE_PROD	RXN
CPLX0-7631	DARABISOM-RXN	NO_ARROW	GENE_PROD	RXN
CPLX0-7633	FUCPALDOL-RXN	NO_ARROW	GENE_PROD	RXN
CPLX0-7633	DARABALDOL-RXN	NO_ARROW	GENE_PROD	RXN
CPLX0-7645	RXN0-5298	NO_ARROW	GENE_PROD	RXN
FUCP-MONOMER	TRANS-RXN-20	NO_ARROW	GENE_PROD	RXN
FUCP-MONOMER	RXN0-7221	NO_ARROW	GENE_PROD	RXN
FUCP-MONOMER	RXN0-7222	NO_ARROW	GENE_PROD	RXN
FUCULOKIN-MONOMER	FUCULOKIN-RXN	NO_ARROW	GENE_PROD	RXN
FUCULOKIN-MONOMER	DARABKIN-RXN	NO_ARROW	GENE_PROD	RXN
L-LACTDEHYDROGFMN-MONOMER	L-LACTDEHYDROGFMN-RXN	NO_ARROW	GENE_PROD	RXN
L-LACTDEHYDROGFMN-MONOMER	RXN0-7227	NO_ARROW	GENE_PROD	RXN
LACTALDREDUCT-CPLX	GLYCOLALDREDUCT-RXN	NO_ARROW	GENE_PROD	RXN
LACTALDREDUCT-CPLX	LACTALDREDUCT-RXN	NO_ARROW	GENE_PROD	RXN
RIBULOKIN-CPLX	RXN0-5116	NO_ARROW	GENE_PROD	RXN
RIBULPEPIM-CPLX	RIBULPEPIM-RXN	NO_ARROW	GENE_PROD	RXN
WATER	ABC-2-RXN	NO_REVERSIBLE	MET	RXN
ATP	ABC-2-RXN	NO_REVERSIBLE	MET	RXN
L-ARABINOSE	ABC-2-RXN	NO_REVERSIBLE	MET	RXN
WATER	LACTALDDEHYDROG-RXN	NO_REVERSIBLE	MET	RXN
NAD	LACTALDDEHYDROG-RXN	NO_REVERSIBLE	MET	RXN
LACTALD	LACTALDDEHYDROG-RXN	NO_REVERSIBLE	MET	RXN
WATER	GLYCOLALD-DEHYDROG-RXN	NO_REVERSIBLE	MET	RXN
NAD	GLYCOLALD-DEHYDROG-RXN	NO_REVERSIBLE	MET	RXN
GLYCOLALDEHYDE	GLYCOLALD-DEHYDROG-RXN	NO_REVERSIBLE	MET	RXN
L-arabinopyranose	ARABISOM-RXN	REVERSIBLE	MET	RXN
PROTON	TRANS-RXN-10	REVERSIBLE	MET	RXN
L-ARABINOSE	TRANS-RXN-10	REVERSIBLE	MET	RXN
CPD-10329	FUCISOM-RXN	REVERSIBLE	MET	RXN
D-arabinopyranose	DARABISOM-RXN	REVERSIBLE	MET	RXN
FUCULOSE-1P	FUCPALDOL-RXN	NO_REVERSIBLE	MET	RXN
D-RIBULOSE-1-P	DARABALDOL-RXN	NO_REVERSIBLE	MET	RXN
CPD-10329	RXN0-5298	REVERSIBLE	MET	RXN
L-fucoses	TRANS-RXN-20	REVERSIBLE	MET	RXN
PROTON	TRANS-RXN-20	REVERSIBLE	MET	RXN
D-ARABINOSE	RXN0-7221	REVERSIBLE	MET	RXN
PROTON	RXN0-7221	REVERSIBLE	MET	RXN
L-Galactose	RXN0-7222	REVERSIBLE	MET	RXN
PROTON	RXN0-7222	REVERSIBLE	MET	RXN
L-FUCULOSE	FUCULOKIN-RXN	NO_REVERSIBLE	MET	RXN
ATP	FUCULOKIN-RXN	NO_REVERSIBLE	MET	RXN
D-RIBULOSE	DARABKIN-RXN	NO_REVERSIBLE	MET	RXN
ATP	DARABKIN-RXN	NO_REVERSIBLE	MET	RXN
ETR-Quinones	L-LACTDEHYDROGFMN-RXN	NO_REVERSIBLE	MET	RXN
L-LACTATE	L-LACTDEHYDROGFMN-RXN	NO_REVERSIBLE	MET	RXN
ETR-Quinones	RXN0-7227	NO_REVERSIBLE	MET	RXN
CPD-3564	RXN0-7227	NO_REVERSIBLE	MET	RXN
NAD	GLYCOLALDREDUCT-RXN	REVERSIBLE	MET	RXN
GLYCOL	GLYCOLALDREDUCT-RXN	REVERSIBLE	MET	RXN
PROPANE-1-2-DIOL	LACTALDREDUCT-RXN	REVERSIBLE	MET	RXN
NAD	LACTALDREDUCT-RXN	REVERSIBLE	MET	RXN
L-RIBULOSE	RXN0-5116	NO_REVERSIBLE	MET	RXN
ATP	RXN0-5116	NO_REVERSIBLE	MET	RXN
L-RIBULOSE-5-P	RIBULPEPIM-RXN	REVERSIBLE	MET	RXN
ABC-2-RXN	Pi	NO_REVERSIBLE	RXN	MET
ABC-2-RXN	ADP	NO_REVERSIBLE	RXN	MET
ABC-2-RXN	PROTON	NO_REVERSIBLE	RXN	MET
ABC-2-RXN	L-ARABINOSE	NO_REVERSIBLE	RXN	MET
LACTALDDEHYDROG-RXN	PROTON	NO_REVERSIBLE	RXN	MET
LACTALDDEHYDROG-RXN	NADH	NO_REVERSIBLE	RXN	MET
LACTALDDEHYDROG-RXN	L-LACTATE	NO_REVERSIBLE	RXN	MET
GLYCOLALD-DEHYDROG-RXN	PROTON	NO_REVERSIBLE	RXN	MET
GLYCOLALD-DEHYDROG-RXN	NADH	NO_REVERSIBLE	RXN	MET
GLYCOLALD-DEHYDROG-RXN	GLYCOLLATE	NO_REVERSIBLE	RXN	MET
ARABISOM-RXN	L-RIBULOSE	REVERSIBLE	RXN	MET
TRANS-RXN-10	PROTON	REVERSIBLE	RXN	MET
TRANS-RXN-10	L-ARABINOSE	REVERSIBLE	RXN	MET
FUCISOM-RXN	L-FUCULOSE	REVERSIBLE	RXN	MET
DARABISOM-RXN	D-RIBULOSE	REVERSIBLE	RXN	MET
FUCPALDOL-RXN	LACTALD	NO_REVERSIBLE	RXN	MET
FUCPALDOL-RXN	DIHYDROXY-ACETONE-PHOSPHATE	NO_REVERSIBLE	RXN	MET
DARABALDOL-RXN	GLYCOLALDEHYDE	NO_REVERSIBLE	RXN	MET
DARABALDOL-RXN	DIHYDROXY-ACETONE-PHOSPHATE	NO_REVERSIBLE	RXN	MET
RXN0-5298	CPD0-1107	REVERSIBLE	RXN	MET
TRANS-RXN-20	L-fucoses	REVERSIBLE	RXN	MET
TRANS-RXN-20	PROTON	REVERSIBLE	RXN	MET
RXN0-7221	D-ARABINOSE	REVERSIBLE	RXN	MET
RXN0-7221	PROTON	REVERSIBLE	RXN	MET
RXN0-7222	L-Galactose	REVERSIBLE	RXN	MET
RXN0-7222	PROTON	REVERSIBLE	RXN	MET
FUCULOKIN-RXN	PROTON	NO_REVERSIBLE	RXN	MET
FUCULOKIN-RXN	FUCULOSE-1P	NO_REVERSIBLE	RXN	MET
FUCULOKIN-RXN	ADP	NO_REVERSIBLE	RXN	MET
DARABKIN-RXN	PROTON	NO_REVERSIBLE	RXN	MET
DARABKIN-RXN	D-RIBULOSE-1-P	NO_REVERSIBLE	RXN	MET
DARABKIN-RXN	ADP	NO_REVERSIBLE	RXN	MET
L-LACTDEHYDROGFMN-RXN	ETR-Quinols	NO_REVERSIBLE	RXN	MET
L-LACTDEHYDROGFMN-RXN	PYRUVATE	NO_REVERSIBLE	RXN	MET
RXN0-7227	ETR-Quinols	NO_REVERSIBLE	RXN	MET
RXN0-7227	2-OXOBUTANOATE	NO_REVERSIBLE	RXN	MET
GLYCOLALDREDUCT-RXN	PROTON	REVERSIBLE	RXN	MET
GLYCOLALDREDUCT-RXN	GLYCOLALDEHYDE	REVERSIBLE	RXN	MET
GLYCOLALDREDUCT-RXN	NADH	REVERSIBLE	RXN	MET
LACTALDREDUCT-RXN	LACTALD	REVERSIBLE	RXN	MET
LACTALDREDUCT-RXN	NADH	REVERSIBLE	RXN	MET
LACTALDREDUCT-RXN	PROTON	REVERSIBLE	RXN	MET
RXN0-5116	PROTON	NO_REVERSIBLE	RXN	MET
RXN0-5116	L-RIBULOSE-5-P	NO_REVERSIBLE	RXN	MET
RXN0-5116	ADP	NO_REVERSIBLE	RXN	MET
RIBULPEPIM-RXN	XYLULOSE-5-PHOSPHATE	REVERSIBLE	RXN	MET
