GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
[araG,araG,araH,araH,araF]	[inner membrane,inner membrane,inner membrane,inner membrane,periplasmic space]	ABC-2-RXN	WATER,ATP,L-ARABINOSE	Pi,ADP,PROTON,L-ARABINOSE	1.0	0.0
[araG,araG,araH,araH,araF]	[cytosol,cytosol,inner membrane,inner membrane,periplasmic space]	ABC-2-RXN	WATER,ATP,L-ARABINOSE	Pi,ADP,PROTON,L-ARABINOSE	1.0	0.0
[aldA,aldA,aldA,aldA]	[cytosol,cytosol,cytosol,cytosol]	LACTALDDEHYDROG-RXN	WATER,NAD,LACTALD	PROTON,NADH,L-LACTATE	1.0	0.0
[aldA,aldA,aldA,aldA]	[cytosol,cytosol,cytosol,cytosol]	GLYCOLALD-DEHYDROG-RXN	WATER,NAD,GLYCOLALDEHYDE	PROTON,NADH,GLYCOLLATE	1.0	0.0
[araA,araA,araA,araA,araA,araA]	[cytosol,cytosol,cytosol,cytosol,cytosol,cytosol]	ARABISOM-RXN	L-arabinopyranose	L-RIBULOSE	1.0	1.0
araE	inner membrane	TRANS-RXN-10	PROTON,L-ARABINOSE	PROTON,L-ARABINOSE	1.0	1.0
[fucI,fucI,fucI,fucI,fucI,fucI]	[cytosol,cytosol,cytosol,cytosol,cytosol,cytosol]	FUCISOM-RXN	CPD-10329	L-FUCULOSE	1.0	1.0
[fucI,fucI,fucI,fucI,fucI,fucI]	[cytosol,cytosol,cytosol,cytosol,cytosol,cytosol]	DARABISOM-RXN	D-arabinopyranose	D-RIBULOSE	1.0	1.0
[fucA,fucA,fucA,fucA]	[cytosol,cytosol,cytosol,cytosol]	FUCPALDOL-RXN	FUCULOSE-1P	LACTALD,DIHYDROXY-ACETONE-PHOSPHATE	1.0	0.0
[fucA,fucA,fucA,fucA]	[cytosol,cytosol,cytosol,cytosol]	DARABALDOL-RXN	D-RIBULOSE-1-P	GLYCOLALDEHYDE,DIHYDROXY-ACETONE-PHOSPHATE	1.0	0.0
[fucU,fucU,fucU,fucU,fucU,fucU]	[cytosol,cytosol,cytosol,cytosol,cytosol,cytosol]	RXN0-5298	CPD-10329	CPD0-1107	1.0	1.0
fucP	inner membrane	TRANS-RXN-20	L-fucoses,PROTON	L-fucoses,PROTON	1.0	1.0
fucP	inner membrane	RXN0-7221	D-ARABINOSE,PROTON	D-ARABINOSE,PROTON	1.0	1.0
fucP	inner membrane	RXN0-7222	L-Galactose,PROTON	L-Galactose,PROTON	1.0	1.0
unknown	unknown	FUCULOKIN-RXN	L-FUCULOSE,ATP	PROTON,FUCULOSE-1P,ADP	1.0	0.0
unknown	unknown	DARABKIN-RXN	D-RIBULOSE,ATP	PROTON,D-RIBULOSE-1-P,ADP	1.0	0.0
lldD	inner membrane	L-LACTDEHYDROGFMN-RXN	ETR-Quinones,L-LACTATE	ETR-Quinols,PYRUVATE	1.0	0.0
lldD	inner membrane	RXN0-7227	ETR-Quinones,CPD-3564	ETR-Quinols,2-OXOBUTANOATE	1.0	0.0
[fucO,fucO]	[cytosol,cytosol]	GLYCOLALDREDUCT-RXN	NAD,GLYCOL	PROTON,GLYCOLALDEHYDE,NADH	1.0	1.0
[fucO,fucO]	[cytosol,cytosol]	LACTALDREDUCT-RXN	PROPANE-1-2-DIOL,NAD	LACTALD,NADH,PROTON	1.0	1.0
[araB,araB]	[cytosol,cytosol]	RXN0-5116	L-RIBULOSE,ATP	PROTON,L-RIBULOSE-5-P,ADP	1.0	0.0
[araD,araD,araD,araD]	[cytosol,cytosol,cytosol,cytosol]	RIBULPEPIM-RXN	L-RIBULOSE-5-P	XYLULOSE-5-PHOSPHATE	1.0	1.0
