GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
araE	inner membrane	TRANS-RXN-10-alpha-af	PER-PROTON,PER-alpha-L-arabinofuranose	PROTON,alpha-L-arabinofuranose	0.0001	0
araE	inner membrane	TRANS-RXN-10-beta-af	PER-PROTON,PER-beta-L-arabinofuranose	PROTON,beta-L-arabinofuranose	0.0001	0
araE	inner membrane	TRANS-RXN-10-alpha-ap	PER-PROTON,PER-alpha-L-arabinopyranose	PROTON,alpha-L-arabinopyranose	0.0001	0
araE	inner membrane	TRANS-RXN-10-beta-ap	PER-PROTON,PER-beta-L-arabinopyranose	PROTON,beta-L-arabinopyranose	0.0001	0

#[araG,araG,araH,araH,araF]	[cytosol,cytosol,inner membrane,inner membrane,periplasmic space]	ABC-2-RXN-alpha-af	PER-alpha-L-arabinofuranose,WATER,ATP	alpha-L-arabinofuranose,Pi,ADP,PROTON	1	0
#[araG,araG,araH,araH,araF]	[cytosol,cytosol,inner membrane,inner membrane,periplasmic space]	ABC-2-RXN-beta-af	PER-beta-L-arabinofuranose,WATER,ATP	beta-L-arabinofuranose,Pi,ADP,PROTON	1	0
[araG,araG,araH,araH,araF]	[cytosol,cytosol,inner membrane,inner membrane,periplasmic space]	ABC-2-RXN-alpha-ap	PER-alpha-L-arabinopyranose,WATER,ATP	alpha-L-arabinopyranose,Pi,ADP,PROTON	1	0
#[araG,araG,araH,araH,araF]	[cytosol,cytosol,inner membrane,inner membrane,periplasmic space]	ABC-2-RXN-beta-ap	PER-beta-L-arabinopyranose,WATER,ATP	beta-L-arabinopyranose,Pi,ADP,PROTON	1	0

[araA,araA,araA,araA,araA,araA]	[cytosol,cytosol,cytosol,cytosol,cytosol,cytosol]	ARABISOM-RXN-alpha-ap	alpha-L-arabinopyranose	L-RIBULOSE	1	0
[araA,araA,araA,araA,araA,araA]	[cytosol,cytosol,cytosol,cytosol,cytosol,cytosol]	ARABISOM-RXN-beta-ap	beta-L-arabinopyranose	L-RIBULOSE	1	0

[araB,araB]	[cytosol,cytosol]	RXN0-5116	L-RIBULOSE,ATP	PROTON,L-RIBULOSE-5-P,ADP	1	0

[araD,araD,araD,araD]	[cytosol,cytosol,cytosol,cytosol]	RIBULPEPIM-RXN	L-RIBULOSE-5-P	XYLULOSE-5-PHOSPHATE	1	0
