GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
aceF	unknown	PYRUVDEH-RXN	PYRUVATE,CO-A,NAD	ACETYL-COA,CARBON-DIOXIDE,NADH	1.0	0.0
acnB	cytosol	ACONITATEHYDR-RXN	CIS-ACONITATE,WATER	THREO-DS-ISO-CITRATE	1.0	1.0
acnB	cytosol	ACONITATEDEHYDR-RXN	CIT	CIS-ACONITATE,WATER	1.0	1.0
ansB	periplasmic space	ASPARAGHYD-RXN	ASN,WATER	L-ASPARTATE,AMMONIUM	1.0	0.0
aroG	cytosol	DAHPSYN-RXN	PHOSPHO-ENOL-PYRUVATE,ERYTHROSE-4P,WATER	3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P,Pi	1.0	0.0
aroH	cytosol	DAHPSYN-RXN	PHOSPHO-ENOL-PYRUVATE,ERYTHROSE-4P,WATER	3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P,Pi	1.0	0.0
aroL	cytosol	SHIKIMATE-KINASE-RXN	SHIKIMATE,ATP	PROTON,SHIKIMATE-5P,ADP	1.0	0.0
asnB	cytosol	ASNSYNA-RXN	L-ASPARTATE,AMMONIUM,ATP	PROTON,ASN,PPI,AMP	1.0	0.0
carB	cytosol	CARBPSYN-RXN	ATP,GLN,HCO3,WATER	PROTON,CARBAMOYL-P,GLT,Pi,ADP	1.0	0.0
crr	inner membrane	TRANS-RXN-157	PTSH-PHOSPHORYLATED,Glucopyranose	D-glucopyranose-6-phosphate,PTSH-MONOMER	1.0	0.0
crr	inner membrane	TRANS-RXN0-583	CPD-3582,PTSH-PHOSPHORYLATED	PTSH-MONOMER,CPD-16619	1.0	0.0
crr	inner membrane	TRANS-RXN-168	PTSH-PHOSPHORYLATED,TREHALOSE	TREHALOSE-6P,PTSH-MONOMER	1.0	0.0
crr	inner membrane	RXN0-17	NACMUR,PTSH-PHOSPHORYLATED	CPD0-881,PTSH-MONOMER	1.0	0.0
eno	extracellular space	2PGADEHYDRAT-RXN	2-PG	PHOSPHO-ENOL-PYRUVATE,WATER	1.0	1.0
eno	cytoskeleton	2PGADEHYDRAT-RXN	2-PG	PHOSPHO-ENOL-PYRUVATE,WATER	1.0	1.0
fbaA	cell wall	F16ALDOLASE-RXN	FRUCTOSE-16-DIPHOSPHATE	DIHYDROXY-ACETONE-PHOSPHATE,GAP	1.0	1.0
fbaA	cytosol	F16ALDOLASE-RXN	FRUCTOSE-16-DIPHOSPHATE	DIHYDROXY-ACETONE-PHOSPHATE,GAP	1.0	1.0
fbaA	cell wall	SEDOBISALDOL-RXN	DIHYDROXY-ACETONE-PHOSPHATE,ERYTHROSE-4P	D-SEDOHEPTULOSE-1-7-P2	0.0	1.0
fbaA	cytosol	SEDOBISALDOL-RXN	DIHYDROXY-ACETONE-PHOSPHATE,ERYTHROSE-4P	D-SEDOHEPTULOSE-1-7-P2	0.0	1.0
fbaB	cytosol	F16ALDOLASE-RXN	FRUCTOSE-16-DIPHOSPHATE	DIHYDROXY-ACETONE-PHOSPHATE,GAP	1.0	1.0
fumB	unknown	FUMHYDR-RXN	MAL	FUM,WATER	1.0	1.0
fumC	cytosol	FUMHYDR-RXN	MAL	FUM,WATER	1.0	1.0
fumD	cytosol	FUMHYDR-RXN	MAL	FUM,WATER	1.0	1.0
fumE	cytosol	FUMHYDR-RXN	MAL	FUM,WATER	1.0	1.0
glpX	cytosol	F16BDEPHOS-RXN	FRUCTOSE-16-DIPHOSPHATE,WATER	FRUCTOSE-6P,Pi	1.0	0.0
gpt	cytosol	GUANPRIBOSYLTRAN-RXN	GMP,PPI	GUANINE,PRPP	0.0	1.0
gpt	cytosol	XANPRIBOSYLTRAN-RXN	XANTHOSINE-5-PHOSPHATE,PPI	XANTHINE,PRPP	0.0	1.0
gpt	cytosol	HYPOXANPRIBOSYLTRAN-RXN	PPI,IMP	PRPP,HYPOXANTHINE	0.0	1.0
hisH	cytosol	GLUTAMIDOTRANS-RXN	PHOSPHORIBULOSYL-FORMIMINO-AICAR-P,GLN	PROTON,GLT,D-ERYTHRO-IMIDAZOLE-GLYCEROL-P,AICAR	1.0	0.0
hpt	cytosol	HYPOXANPRIBOSYLTRAN-RXN	PPI,IMP	PRPP,HYPOXANTHINE	0.0	1.0
hpt	cytosol	GUANPRIBOSYLTRAN-RXN	GMP,PPI	GUANINE,PRPP	0.0	1.0
iaaA	unknown	ASPARAGHYD-RXN	ASN,WATER	L-ASPARTATE,AMMONIUM	1.0	0.0
iaaA	unknown	RXN0-3241	CPD-12991,WATER	L-ASPARTATE,Amino-Acids-20	1.0	0.0
iaaA	unknown	ASPARAGHYD-RXN	ASN,WATER	L-ASPARTATE,AMMONIUM	1.0	0.0
ilvE	cytosol	RXN-10814	PHE,2-KETOGLUTARATE	PHENYL-PYRUVATE,GLT	1.0	1.0
ilvH	cytosol	ACETOLACTSYN-RXN	PROTON,PYRUVATE	2-ACETO-LACTATE,CARBON-DIOXIDE	1.0	0.0
ilvH	cytosol	ACETOOHBUTSYN-RXN	PROTON,PYRUVATE,2-OXOBUTANOATE	2-ACETO-2-HYDROXY-BUTYRATE,CARBON-DIOXIDE	1.0	0.0
ilvI	cytosol	ACETOLACTSYN-RXN	PROTON,PYRUVATE	2-ACETO-LACTATE,CARBON-DIOXIDE	1.0	0.0
ilvI	cytosol	ACETOOHBUTSYN-RXN	PROTON,PYRUVATE,2-OXOBUTANOATE	2-ACETO-2-HYDROXY-BUTYRATE,CARBON-DIOXIDE	1.0	0.0
ilvM	cytosol	ACETOOHBUTSYN-RXN	PROTON,PYRUVATE,2-OXOBUTANOATE	2-ACETO-2-HYDROXY-BUTYRATE,CARBON-DIOXIDE	1.0	0.0
ilvM	cytosol	ACETOLACTSYN-RXN	PROTON,PYRUVATE	2-ACETO-LACTATE,CARBON-DIOXIDE	1.0	0.0
ilvN	cytosol	ACETOOHBUTSYN-RXN	PROTON,PYRUVATE,2-OXOBUTANOATE	2-ACETO-2-HYDROXY-BUTYRATE,CARBON-DIOXIDE	1.0	0.0
ilvN	cytosol	ACETOLACTSYN-RXN	PROTON,PYRUVATE	2-ACETO-LACTATE,CARBON-DIOXIDE	1.0	0.0
leuB	cytosol	RXN-13158	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE,NAD	2K-4CH3-PENTANOATE,CARBON-DIOXIDE,NADH	1.0	0.0
leuD	cytosol	RXN-13163	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	3-CARBOXY-3-HYDROXY-ISOCAPROATE	1.0	1.0
lpd	cytosol	1.8.1.4-RXN	Dihydro-Lipoyl-Proteins,NAD	Lipoyl-Protein-N6-lipoyllysine,NADH,PROTON	1.0	0.0
lpd	cytosol	RXN-8629	DIHYDROLIPOYL-GCVH,NAD	PROTEIN-LIPOYLLYSINE,NADH,PROTON	1.0	1.0
lpd	cytosol	RXN0-1132	Pyruvate-dehydrogenase-dihydrolipoate,NAD	Pyruvate-dehydrogenase-lipoate,NADH,PROTON	1.0	0.0
lpd	cytosol	RXN-7716	Oxo-glutarate-dehydrogenase-DH-lipoyl,NAD	Oxo-glutarate-dehydrogenase-lipoyl,NADH,PROTON	1.0	0.0
lpd	cytosol	RXN-15119	CPD-4544,Donor-H2	CPD-16009,Acceptor	1.0	0.0
lpd	cytosol	2OXOGLUTARATEDEH-RXN	2-KETOGLUTARATE,CO-A,NAD	SUC-COA,CARBON-DIOXIDE,NADH	1.0	0.0
lpd	cytosol	GCVMULTI-RXN	GLY,THF-GLU-N,NAD	METHYLENE-THF-GLU-N,AMMONIUM,CARBON-DIOXIDE,NADH	1.0	0.0
lpd	inner membrane	PYRUVDEH-RXN	PYRUVATE,CO-A,NAD	ACETYL-COA,CARBON-DIOXIDE,NADH	1.0	0.0
lpd	cytosol	PYRUVDEH-RXN	PYRUVATE,CO-A,NAD	ACETYL-COA,CARBON-DIOXIDE,NADH	1.0	0.0
mdh	membrane	MALATE-DEH-RXN	MAL,NAD	PROTON,OXALACETIC_ACID,NADH	1.0	1.0
metC	cytosol	CYSTATHIONINE-BETA-LYASE-RXN	L-CYSTATHIONINE,WATER	AMMONIUM,PYRUVATE,HOMO-CYS	1.0	0.0
metC	cytosol	LCYSDESULF-RXN	CYS,WATER	PYRUVATE,AMMONIUM,HS	1.0	0.0
metE	cytosol	HOMOCYSMET-RXN	CPD-1302,HOMO-CYS	MET,CPD-1301	1.0	0.0
metL	cytosol	ASPARTATEKIN-RXN	L-ASPARTATE,ATP	L-BETA-ASPARTYL-P,ADP	1.0	0.0
