SOURCE	TARGET	EDGE_ATTRIBUTE	SOURCE_NODE_ATTRIBUTE	TARGET_NODE_ATTRIBUTE
aceA	ISOCIT-CLEAV-RXN	NO_ARROW	GENE_PROD	RXN
aceB	MALSYN-RXN	NO_ARROW	GENE_PROD	RXN
aceE	RXN0-1134	NO_ARROW	GENE_PROD	RXN
aceE	PYRUVDEH-RXN	NO_ARROW	GENE_PROD	RXN
aceF	RXN0-1133	NO_ARROW	GENE_PROD	RXN
aceF	PYRUVDEH-RXN	NO_ARROW	GENE_PROD	RXN
acnA	ACONITATEHYDR-RXN	NO_ARROW	GENE_PROD	RXN
acnA	ACONITATEDEHYDR-RXN	NO_ARROW	GENE_PROD	RXN
acnB	ACONITATEHYDR-RXN	NO_ARROW	GENE_PROD	RXN
acnB	ACONITATEDEHYDR-RXN	NO_ARROW	GENE_PROD	RXN
acnB	4.2.1.99-RXN	NO_ARROW	GENE_PROD	RXN
add	ADDALT-RXN	NO_ARROW	GENE_PROD	RXN
add	ADENODEAMIN-RXN	NO_ARROW	GENE_PROD	RXN
adk	ADENYL-KIN-RXN	NO_ARROW	GENE_PROD	RXN
adk	UDPKIN-RXN	NO_ARROW	GENE_PROD	RXN
adk	CDPKIN-RXN	NO_ARROW	GENE_PROD	RXN
adk	GDPKIN-RXN	NO_ARROW	GENE_PROD	RXN
adk	DGDPKIN-RXN	NO_ARROW	GENE_PROD	RXN
adk	DCDPKIN-RXN	NO_ARROW	GENE_PROD	RXN
adk	DTDPKIN-RXN	NO_ARROW	GENE_PROD	RXN
adk	RXN-14074	NO_ARROW	GENE_PROD	RXN
amn	AMP-NUCLEOSID-RXN	NO_ARROW	GENE_PROD	RXN
ansA	ASPARAGHYD-RXN	NO_ARROW	GENE_PROD	RXN
ansB	ASPARAGHYD-RXN	NO_ARROW	GENE_PROD	RXN
aphA	ACID-PHOSPHATASE-RXN	NO_ARROW	GENE_PROD	RXN
aphA	RXN-14473	NO_ARROW	GENE_PROD	RXN
aphA	5-NUCLEOTID-RXN	NO_ARROW	GENE_PROD	RXN
aphA	3-NUCLEOTID-RXN	NO_ARROW	GENE_PROD	RXN
aphA	RXN0-3741	NO_ARROW	GENE_PROD	RXN
aphA	DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	NO_ARROW	GENE_PROD	RXN
aphA	RXN-14522	NO_ARROW	GENE_PROD	RXN
aphA	RXN-14525	NO_ARROW	GENE_PROD	RXN
aphA	RXN-14523	NO_ARROW	GENE_PROD	RXN
aphA	RXN-14524	NO_ARROW	GENE_PROD	RXN
aphA	RXN-14505	NO_ARROW	GENE_PROD	RXN
aphA	RXN0-5114	NO_ARROW	GENE_PROD	RXN
aphA	RXN-14534	NO_ARROW	GENE_PROD	RXN
apt	ADENPRIBOSYLTRAN-RXN	NO_ARROW	GENE_PROD	RXN
argD	ACETYLORNTRANSAM-RXN	NO_ARROW	GENE_PROD	RXN
argD	SUCCINYLDIAMINOPIMTRANS-RXN	NO_ARROW	GENE_PROD	RXN
aroA	2.5.1.19-RXN	NO_ARROW	GENE_PROD	RXN
aroB	3-DEHYDROQUINATE-SYNTHASE-RXN	NO_ARROW	GENE_PROD	RXN
aroC	CHORISMATE-SYNTHASE-RXN	NO_ARROW	GENE_PROD	RXN
