GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
2OXOGLUTARATEDEH-CPLX	cytosol	2OXOGLUTARATEDEH-RXN	2-KETOGLUTARATE,CO-A,NAD	SUC-COA,CARBON-DIOXIDE,NADH	1.0	0.0
2OXOGLUTARATEDEH-CPLX	inner membrane	2OXOGLUTARATEDEH-RXN	2-KETOGLUTARATE,CO-A,NAD	SUC-COA,CARBON-DIOXIDE,NADH	1.0	0.0
2OXOGLUTARATEDEH-CPLX	cytosol	2OXOGLUTARATEDEH-RXN	2-KETOGLUTARATE,CO-A,NAD	SUC-COA,CARBON-DIOXIDE,NADH	1.0	0.0
3-ISOPROPYLMALISOM-CPLX	cytosol	RXN-13163	2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	3-CARBOXY-3-HYDROXY-ISOCAPROATE	1.0	1.0
6PFK-2-CPX	cytosol	6PFRUCTPHOS-RXN	FRUCTOSE-6P,ATP	PROTON,ADP,FRUCTOSE-16-DIPHOSPHATE	1.0	0.0
ACETOACETYL-COA-TRANSFER-CPLX	unknown	ACETOACETYL-COA-TRANSFER-RXN	3-KETOBUTYRATE,ACETYL-COA	ACETOACETYL-COA,ACET	1.0	1.0
ACETOLACTSYNI-CPLX	cytosol	ACETOOHBUTSYN-RXN	PROTON,PYRUVATE,2-OXOBUTANOATE	2-ACETO-2-HYDROXY-BUTYRATE,CARBON-DIOXIDE	1.0	0.0
ACETOLACTSYNI-CPLX	cytosol	ACETOLACTSYN-RXN	PROTON,PYRUVATE	2-ACETO-LACTATE,CARBON-DIOXIDE	1.0	0.0
ACETOLACTSYNII-CPLX	cytosol	ACETOOHBUTSYN-RXN	PROTON,PYRUVATE,2-OXOBUTANOATE	2-ACETO-2-HYDROXY-BUTYRATE,CARBON-DIOXIDE	1.0	0.0
ACETOLACTSYNII-CPLX	cytosol	ACETOLACTSYN-RXN	PROTON,PYRUVATE	2-ACETO-LACTATE,CARBON-DIOXIDE	1.0	0.0
ACETOLACTSYNIII-CPLX	cytosol	ACETOLACTSYN-RXN	PROTON,PYRUVATE	2-ACETO-LACTATE,CARBON-DIOXIDE	1.0	0.0
ACETOLACTSYNIII-CPLX	cytosol	ACETOLACTSYN-RXN	PROTON,PYRUVATE	2-ACETO-LACTATE,CARBON-DIOXIDE	1.0	0.0
ACETOLACTSYNIII-CPLX	cytosol	ACETOOHBUTSYN-RXN	PROTON,PYRUVATE,2-OXOBUTANOATE	2-ACETO-2-HYDROXY-BUTYRATE,CARBON-DIOXIDE	1.0	0.0
ACETOLACTSYNIII-CPLX	cytosol	ACETOOHBUTSYN-RXN	PROTON,PYRUVATE,2-OXOBUTANOATE	2-ACETO-2-HYDROXY-BUTYRATE,CARBON-DIOXIDE	1.0	0.0
ACETYL-COA-CARBOXYLTRANSFER-CPLX	cytosol	RXN0-5055	ACETYL-COA,carboxybiotin-L-lysine-in-BCCP-dimers	MALONYL-COA,biotin-L-lysine-in-BCCP-dimers	1.0	0.0
ACSERLYB-CPLX	cytosol	ACSERLY-RXN	ACETYLSERINE,HS	PROTON,CYS,ACET	1.0	0.0
ACSERLYB-CPLX	cytosol	LCYSDESULF-RXN	CYS,WATER	PYRUVATE,AMMONIUM,HS	1.0	0.0
ACYLCOADEHYDROG-MONOMER	inner membrane	ACYLCOADEHYDROG-RXN	Saturated-Fatty-Acyl-CoA,ETF-Oxidized,PROTON	TRANS-D2-ENOYL-COA,ETF-Reduced	1.0	0.0
ACYLCOADEHYDROG-MONOMER	inner membrane	RXN-17775	OLEOYL-COA,ETF-Oxidized,PROTON	CPD-19172,ETF-Reduced	1.0	0.0
ACYLCOADEHYDROG-MONOMER	inner membrane	RXN-17779	CPD-19144,ETF-Oxidized,PROTON	CPD-19170,ETF-Reduced	1.0	0.0
ACYLCOADEHYDROG-MONOMER	inner membrane	RXN-17783	CPD-15436,ETF-Oxidized,PROTON	CPD0-1162,ETF-Reduced	1.0	0.0
ACYLCOADEHYDROG-MONOMER	inner membrane	RXN-17784	CPD-18346,ETF-Oxidized,PROTON	CPD-19163,ETF-Reduced	1.0	0.0
ACYLCOADEHYDROG-MONOMER	inner membrane	RXN-17788	CPD-10269,ETF-Oxidized,PROTON	CPD-19162,ETF-Reduced	1.0	0.0
ACYLCOADEHYDROG-MONOMER	inner membrane	RXN-17792	CPD-19147,ETF-Oxidized,PROTON	CPD-19161,ETF-Reduced	1.0	0.0
ACYLCOADEHYDROG-MONOMER	inner membrane	RXN-17796	CPD-19148,ETF-Oxidized,PROTON	CPD-19150,ETF-Reduced	1.0	0.0
ACYLCOASYN-CPLX	cytosol	ACYLCOASYN-RXN	CPD66-39,CO-A,ATP	Saturated-Fatty-Acyl-CoA,PPI,AMP	1.0	0.0
ACYLCOASYN-CPLX	cytosol	TRANS-RXN0-623	CPD66-39,ATP,CO-A,PROTON	Saturated-Fatty-Acyl-CoA,AMP,PPI,PROTON	1.0	0.0
ACYLCOASYN-CPLX	cytosol	RXN0-7238	CPD-9247,ATP,CO-A,PROTON	CPD-18346,AMP,PPI,PROTON	1.0	0.0
ACYLCOASYN-CPLX	cytosol	RXN0-7239	OLEATE-CPD,ATP,CO-A,PROTON	OLEOYL-COA,AMP,PPI,PROTON	1.0	0.0
ACYLCOASYN-CPLX	cytosol	RXN0-7248	CPD-9245,ATP,CO-A,PROTON	CPD-10269,AMP,PPI,PROTON	1.0	0.0
ANSB-CPLX	periplasmic space	ASPARAGHYD-RXN	ASN,WATER	L-ASPARTATE,AMMONIUM	1.0	0.0
ANTHRANSYN-CPLX	unknown	ANTHRANSYN-RXN	CHORISMATE,GLN	PROTON,ANTHRANILATE,PYRUVATE,GLT	1.0	0.0
APHA-CPLX	periplasmic space	RXN-14505	L-THREONINE-O-3-PHOSPHATE,WATER	THR,Pi	1.0	0.0
APHA-CPLX	periplasmic space	RXN0-5114	3-P-SERINE,WATER	SER,Pi	1.0	0.0
APORNAP-CPLX	cytosol	DNA-DIRECTED-RNA-POLYMERASE-RXN	Nucleoside-Triphosphates,RNA-Holder	PPI,RNA-Holder	1.0	0.0
APORNAP-CPLX	cytosol	DNA-DIRECTED-RNA-POLYMERASE-RXN	Nucleoside-Triphosphates,RNA-Holder	PPI,RNA-Holder	1.0	0.0
ARCB-CPLX	cytosol	2.7.13.3-RXN	Protein-Histidines,ATP	Protein-phospho-L-histidines,ADP,PROTON	1.0	0.0
ARGDECARBOXDEG-CPLX	cytosol	ARGDECARBOX-RXN	PROTON,ARG	CARBON-DIOXIDE,AGMATHINE	1.0	0.0
AROG-CPLX	cytosol	DAHPSYN-RXN	PHOSPHO-ENOL-PYRUVATE,ERYTHROSE-4P,WATER	3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P,Pi	1.0	0.0
AROH-CPLX	cytosol	DAHPSYN-RXN	PHOSPHO-ENOL-PYRUVATE,ERYTHROSE-4P,WATER	3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P,Pi	1.0	0.0
AROL-MONOMER	cytosol	SHIKIMATE-KINASE-RXN	SHIKIMATE,ATP	PROTON,SHIKIMATE-5P,ADP	1.0	0.0
ASNSYNB-CPLX	cytosol	ASNSYNA-RXN	L-ASPARTATE,AMMONIUM,ATP	PROTON,ASN,PPI,AMP	1.0	0.0
ASPCARBTRANS-CPLX	unknown	ASPCARBTRANS-RXN	L-ASPARTATE,CARBAMOYL-P	PROTON,CARBAMYUL-L-ASPARTATE,Pi	1.0	0.0
ASPKINIIHOMOSERDEHYDROGII-CPLX	cytosol	ASPARTATEKIN-RXN	L-ASPARTATE,ATP	L-BETA-ASPARTYL-P,ADP	1.0	0.0
ASPKINIIHOMOSERDEHYDROGII-CPLX	cytosol	HOMOSERDEHYDROG-RXN	NAD-P-OR-NOP,HOMO-SER	NADH-P-OR-NOP,L-ASPARTATE-SEMIALDEHYDE,PROTON	0.0	1.0
ASPKINIII-CPLX	cytosol	ASPARTATEKIN-RXN	L-ASPARTATE,ATP	L-BETA-ASPARTYL-P,ADP	1.0	0.0
BAES-MONOMER	inner membrane	2.7.13.3-RXN	Protein-Histidines,ATP	Protein-phospho-L-histidines,ADP,PROTON	1.0	0.0
BASS-MONOMER	inner membrane	2.7.13.3-RXN	Protein-Histidines,ATP	Protein-phospho-L-histidines,ADP,PROTON	1.0	0.0
BRANCHED-CHAINAMINOTRANSFER-CPLX	cytosol	RXN-10814	PHE,2-KETOGLUTARATE	PHENYL-PYRUVATE,GLT	1.0	1.0
CARBPSYN-CPLX	cytosol	CARBPSYN-RXN	ATP,GLN,HCO3,WATER	PROTON,CARBAMOYL-P,GLT,Pi,ADP	1.0	0.0
CFA-CPLX	cytosol	2.1.1.79-RXN	S-ADENOSYLMETHIONINE,Phospholipid-Cis-Olefinic-Fatty-Acids	Phospholipid-Cyclopropane-Fatty-Acids,ADENOSYL-HOMO-CYS,PROTON	1.0	0.0
CHD-MONOMER	inner membrane	CHD-RXN	CHOLINE,Acceptor	BETAINE_ALDEHYDE,Donor-H2	1.0	1.0
CHD-MONOMER	inner membrane	RXN0-7230	ETR-Quinones,CHOLINE	ETR-Quinols,BETAINE_ALDEHYDE	1.0	0.0
CHD-MONOMER	inner membrane	RXN0-7231	ETR-Quinones,BETAINE-ALDEHYDE-HYDRATE	ETR-Quinols,PROTON,BETAINE	1.0	0.0
CHER-MONOMER	cytosol	CHER-RXN	S-ADENOSYLMETHIONINE,Protein-alpha-L-Glutamates	protein-L-glutamate-O4-methyl-ester,ADENOSYL-HOMO-CYS	1.0	0.0
CHER-MONOMER	cytosol	CHERTSRM-RXN	S-ADENOSYLMETHIONINE,TSR-GLU	ADENOSYL-HOMO-CYS,TSR-GLUME	1.0	0.0
CHER-MONOMER	cytosol	CHERTRGM-RXN	S-ADENOSYLMETHIONINE,TRG-GLU	ADENOSYL-HOMO-CYS,TRG-GLUME	1.0	0.0
CHER-MONOMER	cytosol	CHERTARM-RXN	S-ADENOSYLMETHIONINE,TAR-GLU	ADENOSYL-HOMO-CYS,TAR-GLUME	1.0	0.0
CHER-MONOMER	cytosol	CHERTAPM-RXN	S-ADENOSYLMETHIONINE,TAP-GLU	ADENOSYL-HOMO-CYS,TAP-GLUME	1.0	0.0
CHER-MONOMER	cytosol	RXN-19922	S-ADENOSYLMETHIONINE,GLUTATHIONE	S-METHYLGLUTATHIONE,ADENOSYL-HOMO-CYS,PROTON	1.0	0.0
CHEZ-CPLX	cytosol	CHEYDEPHOS-RXN	WATER,PHOSPHO-CHEY	Pi,CHEY-MONOMER,PROTON	1.0	0.0
CHEZ-CPLX	cell projection	CHEYDEPHOS-RXN	WATER,PHOSPHO-CHEY	Pi,CHEY-MONOMER,PROTON	1.0	0.0
CHORISMUTPREPHENDEHYDROG-CPLX	cytosol	CHORISMATEMUT-RXN	CHORISMATE	PREPHENATE	1.0	0.0
CPDB-MONOMER	periplasmic space	3-NUCLEOTID-RXN	3-Phosphomonucleotides,WATER	Ribonucleosides,Pi	1.0	0.0
CPDB-MONOMER	periplasmic space	RXN-14115	CPD-3724,WATER	URIDINE,Pi	1.0	0.0
CPDB-MONOMER	periplasmic space	RXN-14126	CPD-3706,WATER	ADENOSINE,Pi	1.0	0.0
CPDB-MONOMER	periplasmic space	RXN-14090	CPD-3711,WATER	CYTIDINE,Pi	1.0	0.0
CPLX-3942	cytosol	RXN-18709	TusA-Persulfides,TusD-L-cysteine	TusA-L-cysteine,TusD-Persulfides	1.0	0.0
CPLX-3942	cytosol	RXN-18709	TusA-Persulfides,TusD-L-cysteine	TusA-L-cysteine,TusD-Persulfides	1.0	0.0
CPLX-3946	cytosol	3.1.11.6-RXN	Single-Stranded-DNAs,WATER	Ribonucleoside-Monophosphates,SS-Oligodeoxyribonucleotides	1.0	0.0
CPLX0-1163	cytosol	RXN0-5103	WATER,General-Protein-Substrates	Peptides-holder,PROTON	1.0	0.0
CPLX0-1601	inner membrane	RXN0-2101	SELENITE,WATER,Acceptor	SELENATE,Donor-H2	0.0	1.0
CPLX0-1601	periplasmic space	RXN0-2101	SELENITE,WATER,Acceptor	SELENATE,Donor-H2	0.0	1.0
CPLX0-1601	inner membrane	RXN0-2101	SELENITE,WATER,Acceptor	SELENATE,Donor-H2	0.0	1.0
CPLX0-1601	unknown	RXN0-2101	SELENITE,WATER,Acceptor	SELENATE,Donor-H2	0.0	1.0
CPLX0-1601	inner membrane	RXN0-2101	SELENITE,WATER,Acceptor	SELENATE,Donor-H2	0.0	1.0
CPLX0-1621	cytoskeleton	RXN0-6523	RNASE-G-DEGRADATION-SUBSTRATE-MRNA,WATER	mRNA-Fragments	1.0	0.0
CPLX0-1762	cytosol	RXN0-2042	CPD-207,OXYGEN-MOLECULE,NADPH,PROTON	CPD0-2362,NADP,WATER	1.0	0.0
CPLX0-1762	cytosol	RXN0-2042	CPD-207,OXYGEN-MOLECULE,NADPH,PROTON	CPD0-2362,NADP,WATER	1.0	0.0
CPLX0-1762	unknown	RXN0-2042	CPD-207,OXYGEN-MOLECULE,NADPH,PROTON	CPD0-2362,NADP,WATER	1.0	0.0
CPLX0-2081	cytosol	2.7.1.121-RXN	DIHYDROXYACETONE,PHOSPHO-ENOL-PYRUVATE	DIHYDROXY-ACETONE-PHOSPHATE,PYRUVATE	1.0	0.0
CPLX0-2081	cytosol	2.7.1.121-RXN	DIHYDROXYACETONE,PHOSPHO-ENOL-PYRUVATE	DIHYDROXY-ACETONE-PHOSPHATE,PYRUVATE	1.0	0.0
CPLX0-2081	membrane	2.7.1.121-RXN	DIHYDROXYACETONE,PHOSPHO-ENOL-PYRUVATE	DIHYDROXY-ACETONE-PHOSPHATE,PYRUVATE	1.0	0.0
CPLX0-235	cytosol	GLYOXYLATE-REDUCTASE-NADP+-RXN	GLYCOLLATE,NADP	PROTON,NADPH,GLYOX	0.0	1.0
CPLX0-235	cytosol	RXN0-300	GLYCERATE,NADP	PROTON,OH-PYR,NADPH	0.0	1.0
CPLX0-235	cytosol	1.1.1.215-RXN	NADP,GLUCONATE	PROTON,CPD-377,NADPH	0.0	1.0
CPLX0-235	cytosol	RXN0-7021	L-IDONATE,NADP	CPD-13059,NADPH,PROTON	0.0	1.0
CPLX0-235	cytosol	YIAE1-RXN	5-DEHYDROGLUCONATE,NADP	PROTON,25-DIDEHYDRO-D-GLUCONATE,NADPH	0.0	1.0
CPLX0-240	inner membrane	TAGAALDOL-RXN	TAGATOSE-1-6-DIPHOSPHATE	DIHYDROXY-ACETONE-PHOSPHATE,GAP	1.0	0.0
CPLX0-240	cytosol	TAGAALDOL-RXN	TAGATOSE-1-6-DIPHOSPHATE	DIHYDROXY-ACETONE-PHOSPHATE,GAP	1.0	0.0
CPLX0-241	cytosol	TAGAALDOL-RXN	TAGATOSE-1-6-DIPHOSPHATE	DIHYDROXY-ACETONE-PHOSPHATE,GAP	1.0	0.0
CPLX0-241	inner membrane	TAGAALDOL-RXN	TAGATOSE-1-6-DIPHOSPHATE	DIHYDROXY-ACETONE-PHOSPHATE,GAP	1.0	0.0
CPLX0-2425	cytosol	5.99.1.3-RXN	Double-Stranded-DNAs,ATP	Negatively-super-coiled-DNAs,ADP,Pi	1.0	0.0
CPLX0-243	cytosol	INORGPYROPHOSPHAT-RXN	WATER,PPI	PROTON,Pi	1.0	0.0
CPLX0-243	cytosol	TRIPHOSPHATASE-RXN	WATER,P3I	Pi,PPI	1.0	0.0
CPLX0-245	cytosol	R4-RXN	Alkyl-Hydro-Peroxides,NADH,PROTON	Alcohols,WATER,NAD	1.0	0.0
CPLX0-248	cytosol	RXN-12588	CYS,Unsulfurated-Sulfur-Acceptors	L-ALPHA-ALANINE,Sulfurated-Sulfur-Acceptors	1.0	0.0
CPLX0-2502	cytosol	RXN-8342	PRECURSOR-Z,Thiocarboxylated-MPT-synthases,WATER	CPD-4,MPT-Synthase-small-subunits,PROTON	1.0	0.0
CPLX0-263	unknown	RXN0-3241	CPD-12991,WATER	L-ASPARTATE,Amino-Acids-20	1.0	0.0
CPLX0-263	unknown	ASPARAGHYD-RXN	ASN,WATER	L-ASPARTATE,AMMONIUM	1.0	0.0
CPLX0-263	unknown	ASPARAGHYD-RXN	ASN,WATER	L-ASPARTATE,AMMONIUM	1.0	0.0
CPLX0-2661	cytosol	RXN0-2941	DNA-With-Recognition-Site,WATER,GTP	Cleaved-DNA,GDP,Pi	1.0	0.0
CPLX0-2901	unknown	ASPDECARBOX-RXN	PROTON,L-ASPARTATE	B-ALANINE,CARBON-DIOXIDE	1.0	0.0
CPLX0-2921	periplasmic space	3.4.21.107-RXN	WATER,General-Protein-Substrates	Peptides-holder,PROTON	1.0	0.0
CPLX0-301	inner membrane	3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	PROTON,3-OCTAPRENYL-4-HYDROXYBENZOATE	2-OCTAPRENYLPHENOL,CARBON-DIOXIDE	1.0	0.0
CPLX0-3021	cytosol	RXN0-3241	CPD-12991,WATER	L-ASPARTATE,Amino-Acids-20	1.0	0.0
CPLX0-303	cytosol	F16BDEPHOS-RXN	FRUCTOSE-16-DIPHOSPHATE,WATER	FRUCTOSE-6P,Pi	1.0	0.0
CPLX0-3061	cytosol	RXN-6622	CYS-GLY,WATER	CYS,GLY	1.0	0.0
CPLX0-3104	cytosol	3.4.21.92-RXN	General-Protein-Substrates,ATP,WATER	Peptides-holder,ADP,Pi,PROTON	1.0	0.0
CPLX0-3104	cytosol	3.4.21.92-RXN	General-Protein-Substrates,ATP,WATER	Peptides-holder,ADP,Pi,PROTON	1.0	0.0
CPLX0-3107	cytosol	3.4.21.92-RXN	General-Protein-Substrates,ATP,WATER	Peptides-holder,ADP,Pi,PROTON	1.0	0.0
CPLX0-3107	cytosol	3.4.21.92-RXN	General-Protein-Substrates,ATP,WATER	Peptides-holder,ADP,Pi,PROTON	1.0	0.0
CPLX0-3108	cytosol	3.4.21.92-RXN	General-Protein-Substrates,ATP,WATER	Peptides-holder,ADP,Pi,PROTON	1.0	0.0
CPLX0-3108	cytosol	3.4.21.92-RXN	General-Protein-Substrates,ATP,WATER	Peptides-holder,ADP,Pi,PROTON	1.0	0.0
CPLX0-3108	cytosol	3.4.21.92-RXN	General-Protein-Substrates,ATP,WATER	Peptides-holder,ADP,Pi,PROTON	1.0	0.0
CPLX0-3241	inner membrane	RXN-18584	Ubiquinols,Oxidized-NapC-proteins	Ubiquinones,PROTON,Reduced-NapC-proteins	1.0	0.0
CPLX0-3241	inner membrane	RXN-18584	Ubiquinols,Oxidized-NapC-proteins	Ubiquinones,PROTON,Reduced-NapC-proteins	1.0	0.0
CPLX0-3461	inner membrane	RXN0-6522	9S-RRNA,WATER	5S-rRNAs,rRNA-fragments	1.0	0.0
CPLX0-3461	inner membrane	RXN0-6521	RNASE-E-MRNA-PROCESSING-SUBSTRATE,WATER	RNASE-E-PROCESSING-PRODUCT-MRNA,mRNA-Fragments	1.0	0.0
CPLX0-3461	inner membrane	RXN0-6485	CPD0-2350,WATER	CPD0-2352,CPD0-2350	1.0	0.0
