SOURCE	TARGET	EDGE_ATTRIBUTE	SOURCE_NODE_ATTRIBUTE	TARGET_NODE_ATTRIBUTE
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	NO_ARROW	GENE_PROD	RXN
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	RXN-1623	NO_ARROW	GENE_PROD	RXN
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	RXN0-5514	NO_ARROW	GENE_PROD	RXN
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	RXN0-6705	NO_ARROW	GENE_PROD	RXN
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	RXN-17022	NO_ARROW	GENE_PROD	RXN
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	RXN-17020	NO_ARROW	GENE_PROD	RXN
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	RXN-17024	NO_ARROW	GENE_PROD	RXN
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	RXN-17012	NO_ARROW	GENE_PROD	RXN
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	RXN-17013	NO_ARROW	GENE_PROD	RXN
1-PFK	1PFRUCTPHOSN-RXN	NO_ARROW	GENE_PROD	RXN
2-DEHYDROPANTOATE-REDUCT-MONOMER	2-DEHYDROPANTOATE-REDUCT-RXN	NO_ARROW	GENE_PROD	RXN
2-ISOPROPYLMALATESYN-MONOMER	2-ISOPROPYLMALATESYN-RXN	NO_ARROW	GENE_PROD	RXN
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	ADOMET-DMK-METHYLTRANSFER-RXN	NO_ARROW	GENE_PROD	RXN
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	NO_ARROW	GENE_PROD	RXN
2OXOGLUTARATEDEH-CPLX	2OXOGLUTARATEDEH-RXN	NO_ARROW	GENE_PROD	RXN
2OXOGLUTARATEDEH-CPLX	2OXOGLUTARATEDEH-RXN	NO_ARROW	GENE_PROD	RXN
