SOURCE	SOURCE_ATTRIBUTE	TARGET	TARGET_ATTRIBUTE
LACY-MONOMER	GENE_PROD	TRANS-RXN-24	RXN
LACY-MONOMER	GENE_PROD	TRANS-RXN-94	RXN
LACY-MONOMER	GENE_PROD	RXN0-7215	RXN
LACY-MONOMER	GENE_PROD	RXN0-7217	RXN
LACY-MONOMER	GENE_PROD	RXN-17755	RXN
BETAGALACTOSID-CPLX	GENE_PROD	BETAGALACTOSID-RXN	RXN
BETAGALACTOSID-CPLX	GENE_PROD	RXN0-5363	RXN
BETAGALACTOSID-CPLX	GENE_PROD	RXN-17726	RXN
BETAGALACTOSID-CPLX	GENE_PROD	RXN0-7219	RXN
GALACTOACETYLTRAN-CPLX	GENE_PROD	GALACTOACETYLTRAN-RXN	RXN

TRANS-RXN-24	RXN	PROTON	MET
TRANS-RXN-24	RXN	Alpha-lactose	MET
TRANS-RXN-94	RXN	PROTON	MET
TRANS-RXN-94	RXN	MELIBIOSE	MET
RXN0-7215	RXN	PROTON	MET
RXN0-7215	RXN	CPD-3561	MET
RXN0-7217	RXN	PROTON	MET
RXN0-7217	RXN	CPD-3785	MET
RXN-17755	RXN	PROTON	MET
RXN-17755	RXN	CPD-3801	MET
BETAGALACTOSID-RXN	RXN	CPD-15972	MET
BETAGALACTOSID-RXN	RXN	WATER	MET
RXN0-5363	RXN	Alpha-lactose	MET
RXN-17726	RXN	CPD-3561	MET
RXN-17726	RXN	WATER	MET
RXN0-7219	RXN	CPD-3785	MET
RXN0-7219	RXN	WATER	MET
GALACTOACETYLTRAN-RXN	RXN	Beta-D-Galactosides	MET
GALACTOACETYLTRAN-RXN	RXN	ACETYL-COA	MET

TRANS-RXN-24	RXN	PROTON	MET
TRANS-RXN-24	RXN	Alpha-lactose	MET
TRANS-RXN-94	RXN	PROTON	MET
TRANS-RXN-94	RXN	MELIBIOSE	MET
RXN0-7215	RXN	PROTON	MET
RXN0-7215	RXN	CPD-3561	MET
RXN0-7217	RXN	PROTON	MET
RXN0-7217	RXN	CPD-3785	MET
RXN-17755	RXN	PROTON	MET
RXN-17755	RXN	CPD-3801	MET
BETAGALACTOSID-RXN	RXN	GALACTOSE	MET
BETAGALACTOSID-RXN	RXN	Glucopyranose	MET
RXN0-5363	RXN	ALLOLACTOSE	MET
RXN-17726	RXN	GALACTOSE	MET
RXN-17726	RXN	Fructofuranose	MET
RXN0-7219	RXN	GALACTOSE	MET
RXN0-7219	RXN	D-ARABINOSE	MET
GALACTOACETYLTRAN-RXN	RXN	6-Acetyl-Beta-D-Galactosides	MET
GALACTOACETYLTRAN-RXN	RXN	CO-A	MET
