GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
BSU01680-MONOMER	plasma membrane	2.7.1.69-RXN	Hpr-pi-phospho-L-histidines,Sugar	Hpr-Histidine,Sugar-Phosphate	1.0	0.0
BSU02140-MONOMER	plasma membrane	TRANS-RXN8J2-6	GLYCEROL-3P,PROTON	GLYCEROL-3P,PROTON	1.0	0.0
BSU02170-MONOMER	plasma membrane	TRANS-RXN8J2-7	Carboxylates	Carboxylates	1.0	0.0
BSU02340-MONOMER	plasma membrane	TRANS-RXN8J2-8	GLT,PROTON	GLT,PROTON	1.0	0.0
BSU02350-MONOMER	plasma membrane	TRANS-RXN8J2-104	GLUCOSAMINE,PHOSPHO-ENOL-PYRUVATE	D-GLUCOSAMINE-6-P,PYRUVATE	1.0	0.0
BSU02400-MONOMER	plasma membrane	TRANS-RXN8J2-5	Amino-Acids-20,PROTON	Amino-Acids-20,PROTON	1.0	0.0
BSU02420-MONOMER	plasma membrane	TRANS-RXN8J2-9	GLN,PROTON	GLN,PROTON	1.0	0.0
BSU03220-MONOMER	plasma membrane	TRANS-RXN8J2-27	PRO,NA+	PRO,NA+	1.0	0.0
BSU03330-MONOMER	plasma membrane	TRANS-RXN8J2-13	NITRATE	NITRATE	1.0	0.0
BSU04360-MONOMER	plasma membrane	TRANS-RXN8J2-17	MN+2	MN+2	1.0	0.0
BSU05470-MONOMER	plasma membrane	TRANS-RXN0-487	MN+2	MN+2	1.0	0.0
BSU05800-MONOMER	plasma membrane	TRANS-RXN8J2-21	HYPOXANTHINE	HYPOXANTHINE	1.0	0.0
BSU06160-MONOMER	plasma membrane	TRANS-RXN8J2-22	SORBITOL,PROTON	SORBITOL,PROTON	1.0	0.0
BSU06230-MONOMER	plasma membrane	TRANS-RXN8J2-24	MYO-INOSITOL	MYO-INOSITOL	1.0	0.0
BSU06310-MONOMER	plasma membrane	TRANS-RXN8J2-115	4-AMINO-BUTYRATE	4-AMINO-BUTYRATE	1.0	0.0
BSU06310-MONOMER	plasma membrane	TRANS-RXN8J2-116	PRO	PRO	1.0	0.0
