SOURCE	TARGET	EDGE_ATTRIBUTE	SOURCE_NODE_ATTRIBUTE	TARGET_NODE_ATTRIBUTE
BSU00020-MONOMER	DNA-DIRECTED-DNA-POLYMERASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00090-MONOMER	IMP-DEHYDROG-RXN	NO_ARROW	GENE_PROD	RXN
BSU00100-MONOMER	3.4.16.4-RXN	NO_ARROW	GENE_PROD	RXN
BSU00100-MONOMER	3.4.16.4-RXN	NO_ARROW	GENE_PROD	RXN
BSU00130-MONOMER	RXN0-2161	NO_ARROW	GENE_PROD	RXN
BSU00130-MONOMER	SERINE--TRNA-LIGASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00140-MONOMER	DEOXYCYTIDINE-KINASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00140-MONOMER	DEOXYADENOSINE-KINASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00150-MONOMER	DEOXYGUANOSINE-KINASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00170-MONOMER	ISOCHORMAT-RXN	NO_ARROW	GENE_PROD	RXN
BSU00180-MONOMER	RXN0-1081	NO_ARROW	GENE_PROD	RXN
BSU00190-MONOMER	DNA-DIRECTED-DNA-POLYMERASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00270-MONOMER	LYSDECARBOX-RXN	NO_ARROW	GENE_PROD	RXN
BSU00280-MONOMER	DTMPKI-RXN	NO_ARROW	GENE_PROD	RXN
BSU00310-MONOMER	DNA-DIRECTED-DNA-POLYMERASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00380-MONOMER	METHIONINE--TRNA-LIGASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00410-MONOMER	3.1.26.8-RXN	NO_ARROW	GENE_PROD	RXN
BSU00420-MONOMER	RXN-11633	NO_ARROW	GENE_PROD	RXN
BSU00460-MONOMER	2.7.1.148-RXN	NO_ARROW	GENE_PROD	RXN
BSU00500-MONOMER	2.3.1.157-RXN	NO_ARROW	GENE_PROD	RXN
BSU00500-MONOMER	NAG1P-URIDYLTRANS-RXN	NO_ARROW	GENE_PROD	RXN
BSU00510-MONOMER	PRPPSYN-RXN	NO_ARROW	GENE_PROD	RXN
BSU00530-MONOMER	AMINOCYL-TRNA-HYDROLASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00640-MONOMER	3.1.3.16-RXN	NO_ARROW	GENE_PROD	RXN
BSU00660-MONOMER	PROTEIN-KINASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00670-MONOMER	RXN-1961	NO_ARROW	GENE_PROD	RXN
BSU00680-MONOMER	GUANPRIBOSYLTRAN-RXN	NO_ARROW	GENE_PROD	RXN
BSU00680-MONOMER	HYPOXANPRIBOSYLTRAN-RXN	NO_ARROW	GENE_PROD	RXN
BSU00700-MONOMER	PANTOTHENATE-KIN-RXN	NO_ARROW	GENE_PROD	RXN
BSU00730-MONOMER	ACSERLY-RXN	NO_ARROW	GENE_PROD	RXN
BSU00750-MONOMER	ANTHRANSYN-RXN	NO_ARROW	GENE_PROD	RXN
BSU00760-MONOMER	ADCLY-RXN	NO_ARROW	GENE_PROD	RXN
BSU00770-MONOMER	H2PTEROATESYNTH-RXN	NO_ARROW	GENE_PROD	RXN
BSU00780-MONOMER	H2NEOPTERINALDOL-RXN	NO_ARROW	GENE_PROD	RXN
BSU00790-MONOMER	H2PTERIDINEPYROPHOSPHOKIN-RXN	NO_ARROW	GENE_PROD	RXN
BSU00810-MONOMER	RXN0-1281	NO_ARROW	GENE_PROD	RXN
BSU00820-MONOMER	LYSINE--TRNA-LIGASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00850-MONOMER	RXN8J2-140	NO_ARROW	GENE_PROD	RXN
BSU00870-MONOMER	2.1.1.63-RXN	NO_ARROW	GENE_PROD	RXN
BSU00880-MONOMER	RXN-14338	NO_ARROW	GENE_PROD	RXN
BSU00900-MONOMER	2.7.7.60-RXN	NO_ARROW	GENE_PROD	RXN
BSU00910-MONOMER	RXN0-302	NO_ARROW	GENE_PROD	RXN
BSU00920-MONOMER	GLURS-RXN	NO_ARROW	GENE_PROD	RXN
BSU00930-MONOMER	SERINE-O-ACETTRAN-RXN	NO_ARROW	GENE_PROD	RXN
BSU00940-MONOMER	CYSTEINE--TRNA-LIGASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU00970-MONOMER	RXN0-6381	NO_ARROW	GENE_PROD	RXN
BSU01140-MONOMER	3.4.11.5-RXN	NO_ARROW	GENE_PROD	RXN
BSU01370-MONOMER	ADENYL-KIN-RXN	NO_ARROW	GENE_PROD	RXN
BSU01380-MONOMER	3.4.11.18-RXN	NO_ARROW	GENE_PROD	RXN
BSU01480-MONOMER	RXN0-5398	NO_ARROW	GENE_PROD	RXN
BSU01480-MONOMER	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	NO_ARROW	GENE_PROD	RXN
BSU01530-MONOMER	3.4.24.32-RXN	NO_ARROW	GENE_PROD	RXN
BSU01660-MONOMER	3.2.1.52-RXN	NO_ARROW	GENE_PROD	RXN
BSU01660-MONOMER	3.2.1.52-RXN	NO_ARROW	GENE_PROD	RXN
BSU01660-MONOMER	3.2.1.52-RXN	NO_ARROW	GENE_PROD	RXN
BSU01660-MONOMER	RXN0-5226	NO_ARROW	GENE_PROD	RXN
BSU01660-MONOMER	RXN0-5226	NO_ARROW	GENE_PROD	RXN
BSU01660-MONOMER	RXN0-5226	NO_ARROW	GENE_PROD	RXN
BSU01750-MONOMER	RXN-14338	NO_ARROW	GENE_PROD	RXN
BSU01770-MONOMER	5.4.2.10-RXN	NO_ARROW	GENE_PROD	RXN
BSU01780-MONOMER	L-GLN-FRUCT-6-P-AMINOTRANS-RXN	NO_ARROW	GENE_PROD	RXN
BSU01800-MONOMER	3.2.2.21-RXN	NO_ARROW	GENE_PROD	RXN
BSU01810-MONOMER	2.1.1.63-RXN	NO_ARROW	GENE_PROD	RXN
BSU01820-MONOMER	2.1.1.63-RXN	NO_ARROW	GENE_PROD	RXN
BSU01860-MONOMER	CARBODEHYDRAT-RXN	NO_ARROW	GENE_PROD	RXN
BSU01860-MONOMER	RXN0-5224	NO_ARROW	GENE_PROD	RXN
BSU02030-MONOMER	PROTEIN-KINASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU02090-MONOMER	BETA-LACTAMASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU02130-MONOMER	GLYCPDIESTER-RXN	NO_ARROW	GENE_PROD	RXN
BSU02230-MONOMER	GARTRANSFORMYL2-RXN	NO_ARROW	GENE_PROD	RXN
BSU02260-MONOMER	CARBOXYLESTERASE-RXN	NO_ARROW	GENE_PROD	RXN
BSU02270-MONOMER	PHOSPHASERSYN-RXN	NO_ARROW	GENE_PROD	RXN
