SOURCE	TARGET	EDGE_ATTRIBUTE	SOURCE_NODE_ATTRIBUTE	TARGET_NODE_ATTRIBUTE
BSU01680-MONOMER	2.7.1.69-RXN	NO_ARROW	GENE_PROD	RXN
BSU02140-MONOMER	TRANS-RXN8J2-6	NO_ARROW	GENE_PROD	RXN
BSU02170-MONOMER	TRANS-RXN8J2-7	NO_ARROW	GENE_PROD	RXN
BSU02340-MONOMER	TRANS-RXN8J2-8	NO_ARROW	GENE_PROD	RXN
BSU02350-MONOMER	TRANS-RXN8J2-104	NO_ARROW	GENE_PROD	RXN
BSU02400-MONOMER	TRANS-RXN8J2-5	NO_ARROW	GENE_PROD	RXN
BSU02420-MONOMER	TRANS-RXN8J2-9	NO_ARROW	GENE_PROD	RXN
BSU03220-MONOMER	TRANS-RXN8J2-27	NO_ARROW	GENE_PROD	RXN
BSU03330-MONOMER	TRANS-RXN8J2-13	NO_ARROW	GENE_PROD	RXN
BSU04360-MONOMER	TRANS-RXN8J2-17	NO_ARROW	GENE_PROD	RXN
BSU05470-MONOMER	TRANS-RXN0-487	NO_ARROW	GENE_PROD	RXN
BSU05800-MONOMER	TRANS-RXN8J2-21	NO_ARROW	GENE_PROD	RXN
BSU06160-MONOMER	TRANS-RXN8J2-22	NO_ARROW	GENE_PROD	RXN
BSU06230-MONOMER	TRANS-RXN8J2-24	NO_ARROW	GENE_PROD	RXN
BSU06310-MONOMER	TRANS-RXN8J2-115	NO_ARROW	GENE_PROD	RXN
BSU06310-MONOMER	TRANS-RXN8J2-116	NO_ARROW	GENE_PROD	RXN
BSU06320-MONOMER	TRANS-RXN0-487	NO_ARROW	GENE_PROD	RXN
BSU06660-MONOMER	TRANS-RXN8J2-27	NO_ARROW	GENE_PROD	RXN
BSU07570-MONOMER	TRANS-RXN8J2-28	NO_ARROW	GENE_PROD	RXN
BSU07700-MONOMER	TRANS-RXN8J2-110	NO_ARROW	GENE_PROD	RXN
BSU07800-MONOMER	TRANS-RXN8J2-105	NO_ARROW	GENE_PROD	RXN
BSU08200-MONOMER	TRANS-RXN8J2-111	NO_ARROW	GENE_PROD	RXN
BSU09280-MONOMER	TRANS-RXN8J2-34	NO_ARROW	GENE_PROD	RXN
BSU09850-MONOMER	TRANS-RXN-42	NO_ARROW	GENE_PROD	RXN
BSU12010-MONOMER	TRANS-RXN8J2-106	NO_ARROW	GENE_PROD	RXN
BSU13300-MONOMER	TRANS-RXN-141	NO_ARROW	GENE_PROD	RXN
BSU13890-MONOMER	TRANS-RXN8J2-107	NO_ARROW	GENE_PROD	RXN
BSU14400-MONOMER	RXN-15084	NO_ARROW	GENE_PROD	RXN
BSU16825-MONOMER	TRANS-RXN8J2-101	NO_ARROW	GENE_PROD	RXN
BSU23050-MONOMER	TRANS-RXN8J2-1	NO_ARROW	GENE_PROD	RXN
BSU30720-MONOMER	CYT-UBIQUINOL-OXID-RXN	NO_ARROW	GENE_PROD	RXN
BSU30720-MONOMER	RXN0-5266	NO_ARROW	GENE_PROD	RXN
BSU31580-MONOMER	TRANS-RXN8J2-103	NO_ARROW	GENE_PROD	RXN
BSU34820-MONOMER	3.6.3.44-RXN	NO_ARROW	GENE_PROD	RXN
BSU36510-MONOMER	RXN-9615	NO_ARROW	GENE_PROD	RXN
BSU37260-MONOMER	RXN0-3501	NO_ARROW	GENE_PROD	RXN
BSU38050-MONOMER	SUCROSEPHOSPHO-RXN	NO_ARROW	GENE_PROD	RXN
BSU39270-MONOMER	TRANS-RXN8J2-109	NO_ARROW	GENE_PROD	RXN
BSU39390-MONOMER	TRANS-RXN8J2-102	NO_ARROW	GENE_PROD	RXN
CPLX8J2-101	ATPSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-101	ATPSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-101	ATPSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-101	ATPSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-101	ATPSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-101	ATPSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-101	ATPSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-101	ATPSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-102	RXN0-5266	NO_ARROW	GENE_PROD	RXN
CPLX8J2-102	RXN0-5266	NO_ARROW	GENE_PROD	RXN
CPLX8J2-116	TRANS-RXN-156	NO_ARROW	GENE_PROD	RXN
CPLX8J2-116	TRANS-RXN-156	NO_ARROW	GENE_PROD	RXN
CPLX8J2-116	TRANS-RXN-156	NO_ARROW	GENE_PROD	RXN
CPLX8J2-117	TRANS-RXN8J2-108	NO_ARROW	GENE_PROD	RXN
CPLX8J2-117	TRANS-RXN8J2-108	NO_ARROW	GENE_PROD	RXN
CPLX8J2-117	TRANS-RXN8J2-108	NO_ARROW	GENE_PROD	RXN
CPLX8J2-117	TRANS-RXN8J2-108	NO_ARROW	GENE_PROD	RXN
CPLX8J2-117	TRANS-RXN8J2-108	NO_ARROW	GENE_PROD	RXN
CPLX8J2-118	2.7.1.69-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-118	2.7.1.69-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-118	2.7.1.69-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-119	TRANS-RXN8J2-112	NO_ARROW	GENE_PROD	RXN
CPLX8J2-119	TRANS-RXN8J2-112	NO_ARROW	GENE_PROD	RXN
CPLX8J2-119	TRANS-RXN8J2-112	NO_ARROW	GENE_PROD	RXN
CPLX8J2-141	TRANS-RXN8J2-113	NO_ARROW	GENE_PROD	RXN
CPLX8J2-141	TRANS-RXN8J2-113	NO_ARROW	GENE_PROD	RXN
CPLX8J2-142	TRANS-RXN8J2-114	NO_ARROW	GENE_PROD	RXN
CPLX8J2-158	TRANS-RXN-101	NO_ARROW	GENE_PROD	RXN
CPLX8J2-158	TRANS-RXN-101	NO_ARROW	GENE_PROD	RXN
CPLX8J2-158	TRANS-RXN-101	NO_ARROW	GENE_PROD	RXN
CPLX8J2-158	TRANS-RXN-101	NO_ARROW	GENE_PROD	RXN
CPLX8J2-158	TRANS-RXN-101	NO_ARROW	GENE_PROD	RXN
CPLX8J2-158	TRANS-RXN-101	NO_ARROW	GENE_PROD	RXN
CPLX8J2-158	TRANS-RXN-101	NO_ARROW	GENE_PROD	RXN
CPLX8J2-161	RXN-18028	NO_ARROW	GENE_PROD	RXN
CPLX8J2-161	RXN-18028	NO_ARROW	GENE_PROD	RXN
CPLX8J2-189	TRANS-RXN0-506	NO_ARROW	GENE_PROD	RXN
CPLX8J2-189	TRANS-RXN0-506	NO_ARROW	GENE_PROD	RXN
CPLX8J2-22	CYTOCHROME-C-OXIDASE-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-22	CYTOCHROME-C-OXIDASE-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-22	CYTOCHROME-C-OXIDASE-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-22	CYTOCHROME-C-OXIDASE-RXN	NO_ARROW	GENE_PROD	RXN
CPLX8J2-2	RXN0-3501	NO_ARROW	GENE_PROD	RXN
CPLX8J2-2	RXN0-3501	NO_ARROW	GENE_PROD	RXN
CPLX8J2-2	RXN0-3501	NO_ARROW	GENE_PROD	RXN
CPLX8J2-37	TRANS-RXN8J2-99	NO_ARROW	GENE_PROD	RXN
CPLX8J2-37	TRANS-RXN8J2-99	NO_ARROW	GENE_PROD	RXN
CPLX8J2-38	TRANS-RXN8J2-98	NO_ARROW	GENE_PROD	RXN
CPLX8J2-38	TRANS-RXN8J2-98	NO_ARROW	GENE_PROD	RXN
CPLX8J2-38	TRANS-RXN8J2-98	NO_ARROW	GENE_PROD	RXN
CPLX8J2-38	TRANS-RXN8J2-98	NO_ARROW	GENE_PROD	RXN
CPLX8J2-43	RXN-12164	NO_ARROW	GENE_PROD	RXN
CPLX8J2-43	RXN-12164	NO_ARROW	GENE_PROD	RXN
CPLX8J2-43	RXN-12164	NO_ARROW	GENE_PROD	RXN
CPLX8J2-43	RXN-12164	NO_ARROW	GENE_PROD	RXN
CPLX8J2-65	TRANS-RXN8J2-97	NO_ARROW	GENE_PROD	RXN
CPLX8J2-81	TRANS-RXN8J2-95	NO_ARROW	GENE_PROD	RXN
CPLX8J2-81	TRANS-RXN8J2-95	NO_ARROW	GENE_PROD	RXN
CPLX8J2-82	TRANS-RXN8J2-95	NO_ARROW	GENE_PROD	RXN
CPLX8J2-82	TRANS-RXN8J2-95	NO_ARROW	GENE_PROD	RXN
CPLX8J2-93	TRANS-RXN8J2-97	NO_ARROW	GENE_PROD	RXN
CPLX8J2-93	TRANS-RXN8J2-96	NO_ARROW	GENE_PROD	RXN
Hpr-pi-phospho-L-histidines	2.7.1.69-RXN	NO_REVERSIBLE	MET	RXN
Sugar	2.7.1.69-RXN	NO_REVERSIBLE	MET	RXN
GLYCEROL-3P	TRANS-RXN8J2-6	NO_REVERSIBLE	MET	RXN
PROTON	TRANS-RXN8J2-6	NO_REVERSIBLE	MET	RXN
Carboxylates	TRANS-RXN8J2-7	NO_REVERSIBLE	MET	RXN
GLT	TRANS-RXN8J2-8	NO_REVERSIBLE	MET	RXN
PROTON	TRANS-RXN8J2-8	NO_REVERSIBLE	MET	RXN
GLUCOSAMINE	TRANS-RXN8J2-104	NO_REVERSIBLE	MET	RXN
PHOSPHO-ENOL-PYRUVATE	TRANS-RXN8J2-104	NO_REVERSIBLE	MET	RXN
Amino-Acids-20	TRANS-RXN8J2-5	NO_REVERSIBLE	MET	RXN
PROTON	TRANS-RXN8J2-5	NO_REVERSIBLE	MET	RXN
GLN	TRANS-RXN8J2-9	NO_REVERSIBLE	MET	RXN
PROTON	TRANS-RXN8J2-9	NO_REVERSIBLE	MET	RXN
PRO	TRANS-RXN8J2-27	NO_REVERSIBLE	MET	RXN
NA+	TRANS-RXN8J2-27	NO_REVERSIBLE	MET	RXN
NITRATE	TRANS-RXN8J2-13	NO_REVERSIBLE	MET	RXN
MN+2	TRANS-RXN8J2-17	NO_REVERSIBLE	MET	RXN
