# Output of 'KaSim' 'test.py' '-l' '10' '-p' '.01' '--no-log' -seed 403507137
# "uuid" : "656233965"
"[T]","obs_met_ACETYL_COA_cyt","obs_met_CO_A_cyt","obs_met_CPD_3561_cyt","obs_met_CPD_3785_cyt","obs_met_CPD_3801_cyt","obs_met_D_ARABINOSE_cyt","obs_met_Fructofuranose_cyt","obs_met_MELIBIOSE_cyt","obs_met_PROTON_cyt","obs_met_WATER_cyt","obs_met__6_Acetyl_beta_D_Galactose_cyt","obs_met_alpha_ALLOLACTOSE_cyt","obs_met_alpha_GALACTOSE_cyt","obs_met_alpha_glucose_cyt","obs_met_alpha_lactose_cyt","obs_met_beta_ALLOLACTOSE_cyt","obs_met_beta_GALACTOSE_cyt","obs_met_beta_glucose_cyt","obs_met_beta_lactose_cyt","obs_met_alpha_lactose_per","obs_met_beta_lactose_per","obs_met_PROTON_per","obs_prot_lacY_imem"
0.,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,1
0.01,0,0,0,0,0,0,0,0,51,77,0,0,0,0,1,0,23,23,27,0,49,49,1
0.02,0,0,0,0,0,0,0,0,69,59,0,0,1,1,0,0,40,40,28,0,31,31,1
0.03,0,0,0,0,0,0,0,0,77,45,0,0,2,2,0,0,53,53,22,0,23,23,1
0.04,0,0,0,0,0,0,0,0,82,37,0,0,3,3,0,1,60,60,18,0,18,18,1
0.05,0,0,0,0,0,0,0,0,83,34,0,0,3,4,0,2,63,62,15,0,17,17,1
0.06,0,0,0,0,0,0,0,0,85,29,0,0,5,5,1,3,66,66,10,0,15,15,1
0.07,0,0,0,0,0,0,0,0,88,26,0,0,6,6,1,3,68,68,10,0,12,12,1
0.08,0,0,0,0,0,0,0,0,90,23,0,0,7,6,0,2,70,71,11,0,10,10,1
0.09,0,0,0,0,0,0,0,0,90,21,0,0,7,9,0,1,72,70,10,0,10,10,1
0.1,0,0,0,0,0,0,0,0,92,19,0,0,7,9,1,1,74,72,9,0,8,8,1
0.11,0,0,0,0,0,0,0,0,93,14,0,0,8,9,1,0,78,77,6,0,7,7,1
0.12,0,0,0,0,0,0,0,0,93,13,0,0,10,10,1,0,77,77,5,0,7,7,1
0.13,0,0,0,0,0,0,0,0,93,12,0,0,11,12,1,0,77,76,4,0,7,7,1
0.14,0,0,0,0,0,0,0,0,93,12,0,0,12,12,1,0,76,76,4,0,7,7,1
0.15,0,0,0,0,0,0,0,0,93,12,0,0,14,11,1,0,74,77,4,0,7,7,1
0.16,0,0,0,0,0,0,0,0,93,12,0,0,15,12,1,0,73,76,4,0,7,7,1
0.17,0,0,0,0,0,0,0,0,93,11,0,0,16,14,0,0,73,75,4,0,7,7,1
0.18,0,0,0,0,0,0,0,0,93,10,0,0,18,14,0,0,72,76,3,0,7,7,1
0.19,0,0,0,0,0,0,0,0,93,9,0,0,18,14,0,0,73,77,2,0,7,7,1
0.2,0,0,0,0,0,0,0,0,93,9,0,0,18,16,0,0,73,75,2,0,7,7,1
0.21,0,0,0,0,0,0,0,0,95,9,0,0,18,15,0,0,73,76,4,0,5,5,1
0.22,0,0,0,0,0,0,0,0,96,7,0,0,18,15,0,0,75,78,3,0,4,4,1
0.23,0,0,0,0,0,0,0,0,96,7,0,0,19,16,0,0,74,77,3,0,4,4,1
0.24,0,0,0,0,0,0,0,0,96,7,0,0,20,16,0,0,73,77,3,0,4,4,1
0.25,0,0,0,0,0,0,0,0,96,7,0,0,20,16,0,0,73,77,3,0,4,4,1
0.26,0,0,0,0,0,0,0,0,96,7,0,0,20,16,0,0,73,77,3,0,4,4,1
0.27,0,0,0,0,0,0,0,0,96,7,0,0,22,15,0,0,71,78,3,0,4,4,1
0.28,0,0,0,0,0,0,0,0,96,7,0,0,22,16,0,0,71,77,3,0,4,4,1
0.29,0,0,0,0,0,0,0,0,96,7,0,0,22,18,0,0,71,75,3,0,4,4,1
0.3,0,0,0,0,0,0,0,0,96,6,0,0,23,18,0,0,71,76,2,0,4,4,1
0.31,0,0,0,0,0,0,0,0,96,6,0,0,24,20,0,0,70,74,2,0,4,4,1
0.32,0,0,0,0,0,0,0,0,96,6,0,0,25,21,0,0,69,73,2,0,4,4,1
0.33,0,0,0,0,0,0,0,0,96,6,0,0,23,23,0,0,71,71,2,0,4,4,1
0.34,0,0,0,0,0,0,0,0,96,6,0,0,26,23,0,0,68,71,2,0,4,4,1
0.35,0,0,0,0,0,0,0,0,96,5,0,0,27,23,0,0,68,72,1,0,4,4,1
0.36,0,0,0,0,0,0,0,0,96,5,0,0,28,22,0,0,67,73,1,0,4,4,1
0.37,0,0,0,0,0,0,0,0,96,5,0,0,28,23,0,0,67,72,1,0,4,4,1
0.38,0,0,0,0,0,0,0,0,96,5,0,0,29,24,0,0,66,71,1,0,4,4,1
0.39,0,0,0,0,0,0,0,0,96,5,0,0,29,23,0,0,66,72,1,0,4,4,1
0.4,0,0,0,0,0,0,0,0,96,5,0,0,29,23,0,0,66,72,1,0,4,4,1
0.41,0,0,0,0,0,0,0,0,96,5,0,0,29,22,0,0,66,73,1,0,4,4,1
0.42,0,0,0,0,0,0,0,0,96,5,0,0,30,23,0,0,65,72,1,0,4,4,1
0.43,0,0,0,0,0,0,0,0,96,5,0,0,30,23,0,0,65,72,1,0,4,4,1
0.44,0,0,0,0,0,0,0,0,96,5,0,0,31,23,0,0,64,72,1,0,4,4,1
0.45,0,0,0,0,0,0,0,0,97,5,0,0,31,26,0,0,64,69,2,0,3,3,1
0.46,0,0,0,0,0,0,0,0,97,5,0,0,31,28,0,0,64,67,2,0,3,3,1
0.47,0,0,0,0,0,0,0,0,97,5,0,0,33,28,0,0,62,67,2,0,3,3,1
0.48,0,0,0,0,0,0,0,0,97,5,0,0,33,28,0,0,62,67,2,0,3,3,1
0.49,0,0,0,0,0,0,0,0,97,5,0,0,34,31,0,0,61,64,2,0,3,3,1
0.5,0,0,0,0,0,0,0,0,97,5,0,0,33,32,0,0,62,63,2,0,3,3,1
0.51,0,0,0,0,0,0,0,0,97,5,0,0,33,32,0,0,62,63,2,0,3,3,1
0.52,0,0,0,0,0,0,0,0,97,5,0,0,33,33,0,0,62,62,2,0,3,3,1
0.53,0,0,0,0,0,0,0,0,97,5,0,0,33,32,0,0,62,63,2,0,3,3,1
