GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
ABC-2-CPLX	inner membrane	ABC-2-RXN	WATER,ATP,L-ARABINOSE	Pi,ADP,PROTON,L-ARABINOSE	1.0	0.0
BETAGALACTOSID-CPLX	cytosol	BETAGALACTOSID-RXN	CPD-15972,WATER	GALACTOSE,Glucopyranose	1.0	0.0
BETAGALACTOSID-CPLX	cytosol	RXN0-5363	Alpha-lactose	ALLOLACTOSE	1.0	1.0
BETAGALACTOSID-CPLX	cytosol	RXN-17726	CPD-3561,WATER	GALACTOSE,Fructofuranose	1.0	0.0
BETAGALACTOSID-CPLX	cytosol	RXN0-7219	CPD-3785,WATER	GALACTOSE,D-ARABINOSE	1.0	0.0
GALACTOACETYLTRAN-CPLX	cytosol	GALACTOACETYLTRAN-RXN	Beta-D-Galactosides,ACETYL-COA	6-Acetyl-Beta-D-Galactosides,CO-A	1.0	0.0
LACY-MONOMER	inner membrane	TRANS-RXN-24	PROTON,Alpha-lactose	PROTON,Alpha-lactose	1.0	1.0
LACY-MONOMER	inner membrane	TRANS-RXN-94	PROTON,MELIBIOSE	PROTON,MELIBIOSE	1.0	1.0
LACY-MONOMER	inner membrane	RXN0-7215	PROTON,CPD-3561	PROTON,CPD-3561	1.0	1.0
LACY-MONOMER	inner membrane	RXN0-7217	PROTON,CPD-3785	PROTON,CPD-3785	1.0	1.0
LACY-MONOMER	inner membrane	RXN-17755	PROTON,CPD-3801	PROTON,CPD-3801	1.0	1.0
