GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
spontaneous	[cytosol,periplasmic space]	LACTOSE-MUTAROTATION	alpha-lactose	beta-lactose	1	1
spontaneous	[cytosol,periplasmic space]	GALACTOSE-MUTAROTATION	alpha-GALACTOSE	beta-GALACTOSE	1	1
spontaneous	[cytosol,periplasmic space]	GLUCOSE-MUTAROTATION	alpha-glucose	beta-glucose	1	1
lacY	inner membrane	TRANS-RXN-24	PER-PROTON,PER-alpha-lactose	PROTON,alpha-lactose	1	0
lacY	inner membrane	TRANS-RXN-24-beta	PER-PROTON,PER-beta-lactose	PROTON,beta-lactose	1	0
lacY	inner membrane	TRANS-RXN-94	PER-PROTON,PER-MELIBIOSE	PROTON,MELIBIOSE	1	0
lacY	inner membrane	RXN0-7215	PER-PROTON,PER-CPD-3561	PROTON,CPD-3561	1	0
lacY	inner membrane	RXN0-7217	PER-PROTON,PER-CPD-3785	PROTON,CPD-3785	1	0
lacY	inner membrane	RXN-17755	PER-PROTON,PER-CPD-3801	PROTON,CPD-3801	1	0
[lacZ,lacZ,lacZ,lacZ]	[cytosol,cytosol,cytosol,cytosol]	BETAGALACTOSID-RXN	beta-lactose,WATER	beta-GALACTOSE,beta-glucose	1	0
[lacZ,lacZ,lacZ,lacZ]	[cytosol,cytosol,cytosol,cytosol]	BETAGALACTOSID-RXN-alpha	alpha-lactose,WATER	alpha-GALACTOSE,alpha-glucose	1	0
[lacZ,lacZ,lacZ,lacZ]	[cytosol,cytosol,cytosol,cytosol]	RXN0-5363	alpha-lactose	alpha-ALLOLACTOSE	1	1
[lacZ,lacZ,lacZ,lacZ]	[cytosol,cytosol,cytosol,cytosol]	RXN0-5363-beta	beta-lactose	beta-ALLOLACTOSE	1	1
[lacZ,lacZ,lacZ,lacZ]	[cytosol,cytosol,cytosol,cytosol]	ALLOLACTOSE-DEG-alpha	alpha-ALLOLACTOSE,WATER	alpha-GALACTOSE,alpha-glucose	1	0
[lacZ,lacZ,lacZ,lacZ]	[cytosol,cytosol,cytosol,cytosol]	ALLOLACTOSE-DEG-beta	beta-ALLOLACTOSE,WATER	beta-GALACTOSE,beta-glucose	1	0
[lacZ,lacZ,lacZ,lacZ]	[cytosol,cytosol,cytosol,cytosol]	RXN-17726	CPD-3561,WATER	beta-GALACTOSE,Fructofuranose	1	0
[lacZ,lacZ,lacZ,lacZ]	[cytosol,cytosol,cytosol,cytosol]	RXN0-7219	CPD-3785,WATER	beta-GALACTOSE,D-ARABINOSE	1	0
[lacA,lacA,lacA]	[cytosol,cytosol,cytosol]	GALACTOACETYLTRAN-RXN-galactose	beta-GALACTOSE,ACETYL-COA	6-Acetyl-beta-D-Galactose,CO-A	1	0
