GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
spontaneous	cytosol	LACTOSE-MUTAROTATION	alpha-lactose	beta-lactose	1	1
spontaneous	cytosol	GALACTOSE-MUTAROTATION	alpha-GALACTOSE	beta-GALACTOSE	1	1
spontaneous	cytosol	GLUCOSE-MUTAROTATION	alpha-glucose	beta-glucose	1	1
LACY-MONOMER	inner membrane	TRANS-RXN-24	PER-PROTON,PER-alpha-lactose	PROTON,alpha-lactose	1	0
LACY-MONOMER	inner membrane	TRANS-RXN-24-beta	PER-PROTON,PER-beta-lactose	PROTON,beta-lactose	1	0
LACY-MONOMER	inner membrane	TRANS-RXN-94	PER-PROTON,PER-MELIBIOSE	PROTON,MELIBIOSE	1	0
LACY-MONOMER	inner membrane	RXN0-7215	PER-PROTON,PER-CPD-3561	PROTON,CPD-3561	1	0
LACY-MONOMER	inner membrane	RXN0-7217	PER-PROTON,PER-CPD-3785	PROTON,CPD-3785	1	0
LACY-MONOMER	inner membrane	RXN-17755	PER-PROTON,PER-CPD-3801	PROTON,CPD-3801	1	0
BETAGALACTOSID-CPLX	cytosol	BETAGALACTOSID-RXN	beta-lactose,WATER	beta-GALACTOSE,beta-glucose	1	0
BETAGALACTOSID-CPLX	cytosol	BETAGALACTOSID-RXN-alpha	alpha-lactose,WATER	alpha-GALACTOSE,alpha-glucose	1	0
BETAGALACTOSID-CPLX	cytosol	RXN0-5363	alpha-lactose	alpha-ALLOLACTOSE	1	1
BETAGALACTOSID-CPLX	cytosol	RXN0-5363-beta	beta-lactose	beta-ALLOLACTOSE	1	1
BETAGALACTOSID-CPLX	cytosol	ALLOLACTOSE-DEG-alpha	alpha-ALLOLACTOSE	alpha-GALACTOSE,alpha-glucose	1	0
BETAGALACTOSID-CPLX	cytosol	ALLOLACTOSE-DEG-beta	beta-ALLOLACTOSE	beta-GALACTOSE,beta-glucose	1	0
BETAGALACTOSID-CPLX	cytosol	RXN-17726	CPD-3561,WATER	beta-GALACTOSE,Fructofuranose	1	0
BETAGALACTOSID-CPLX	cytosol	RXN0-7219	CPD-3785,WATER	beta-GALACTOSE,D-ARABINOSE	1	0
GALACTOACETYLTRAN-CPLX	cytosol	GALACTOACETYLTRAN-RXN-galactose	beta-GALACTOSE,ACETYL-COA	6-Acetyl-beta-D-Galactose,CO-A	1	0
