SOURCE	TARGET	EDGE_ATTRIBUTE	SOURCE_NODE_ATTRIBUTE	TARGET_NODE_ATTRIBUTE
BCCP-BIOTIN	RXN0-5055	NO_ARROW	GENE_PROD	RXN
CPLX-4261	PGLUCISOM-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-545	SULFATE-ADENYLYLTRANS-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-563	ADENYLYLSULFKIN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-564	1.8.4.8-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-566	ACETYLHOMOSER-CYS-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-567	CYSTATHIONINE-BETA-SYNTHASE-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-568	RXN-14048	NO_ARROW	GENE_PROD	RXN
CPLX-582	S-ADENMETSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-602	S-ADENMETSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-623	HOMOSERINE-O-ACETYLTRANSFERASE-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-6362	RXN-982	NO_ARROW	GENE_PROD	RXN
CPLX-645	AMPSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-645	AICARSYN-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-672	ADENYLOSUCCINATE-SYNTHASE-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-6841	GLUTDEHYD-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-6842	GLUTDEHYD-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-6891	PYRROLINECARBREDUCT-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-6892	ARGINASE-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-6954	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-6954	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-6954	BRANCHED-CHAINAMINOTRANSFERVAL-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-7009	RXN-17884	NO_ARROW	GENE_PROD	RXN
CPLX-7009	RXN-7706	NO_ARROW	GENE_PROD	RXN
CPLX-7009	1.1.1.190-RXN	NO_ARROW	GENE_PROD	RXN
CPLX-7009	RXN-7700	NO_ARROW	GENE_PROD	RXN
